"SPECIES_NR","TURBOVEG_NAME","KAPLAN_PLUS_NAME","KAPLAN_PLUS_NAME_SIMPLE","AUTHORSHIP","CZECHVEG_ESY_NAME","CZECHVEG_ESY_NAME_SUBSP","PLANT_GROUP"
7716,"Persicaria dubia","Persicaria mitis","Persicaria mitis","(Schrank) Assenov","Persicaria mitis","Persicaria mitis","vascular"
7717,"Persicaria hydropiper","Persicaria hydropiper","Persicaria hydropiper","(L.) Delarbre","Persicaria hydropiper","Persicaria hydropiper","vascular"
7718,"Persicaria lapathifolia","Persicaria lapathifolia","Persicaria lapathifolia","(L.) Delarbre","Persicaria lapathifolia","Persicaria lapathifolia","vascular"
7719,"Persicaria lapathifolia ssp. brittingeri","Persicaria lapathifolia subsp. brittingeri","Persicaria lapathifolia subsp. brittingeri","(Opiz) Soják","Persicaria lapathifolia","Persicaria lapathifolia","vascular"
7720,"Persicaria lapathifolia ssp. lapathifolia","Persicaria lapathifolia subsp. lapathifolia","Persicaria lapathifolia subsp. lapathifolia","(L.) Gray","Persicaria lapathifolia","Persicaria lapathifolia","vascular"
7721,"Persicaria lapathifolia ssp. tomentosa","Persicaria lapathifolia subsp. pallida","Persicaria lapathifolia subsp. pallida","(With.) Á.Löve","Persicaria lapathifolia","Persicaria lapathifolia","vascular"
7722,"Persicaria maculosa","Persicaria maculosa","Persicaria maculosa","Gray","Persicaria maculosa","Persicaria maculosa","vascular"
7723,"Persicaria minor","Persicaria minor","Persicaria minor","(Huds.) Opiz","Persicaria minor","Persicaria minor","vascular"
7724,"Persicaria orientalis","Persicaria orientalis","Persicaria orientalis","(L.) Spach","Persicaria orientalis","Persicaria orientalis","vascular"
7725,"Persicaria polystachya","Rubrivena polystachya","Rubrivena polystachya","(Wall. ex Meisn.) M.Král","Rubrivena polystachya","Rubrivena polystachya","vascular"
7726,"Persicaria vivipara","Persicaria vivipara","Persicaria vivipara","(L.) Ronse Decr.","Persicaria vivipara","Persicaria vivipara","vascular"
7727,"Persicaria amplexicaulis","Bistorta amplexicaulis","Bistorta amplexicaulis","(D.Don) Greene","Bistorta amplexicaulis","Bistorta amplexicaulis","vascular"
7728,"Persicaria species","Persicaria","Persicaria","(L.) Mill.","Persicaria species","Persicaria","vascular"
7729,"Pertusaria albescens","Pertusaria albescens","Pertusaria albescens","(Huds.) M.Choisy & Werner","Pertusaria albescens","Pertusaria albescens","lichen"
7730,"Pertusaria albescens var. albescens","Pertusaria albescens var. albescens","Pertusaria albescens var. albescens","(Huds.) Hafellner","Pertusaria albescens var. albescens","Pertusaria albescens var. albescens","lichen"
7731,"Pertusaria albescens var. corallina","Pertusaria albescens var. corallina","Pertusaria albescens var. corallina","(Huds.) Hafellner","Pertusaria albescens var. corallina","Pertusaria albescens var. corallina","lichen"
7732,"Pertusaria alpina","Pertusaria alpina","Pertusaria alpina","Hepp","Pertusaria alpina","Pertusaria alpina","lichen"
7733,"Pertusaria amara","Pertusaria amara","Pertusaria amara","(Ach.) Nyl.","Pertusaria amara","Pertusaria amara","lichen"
7734,"Pertusaria areolata","Pertusaria areolata","Pertusaria areolata","(Ach.) Lettau","Pertusaria areolata","Pertusaria areolata","lichen"
7735,"Pertusaria aspergilla","Pertusaria aspergilla","Pertusaria aspergilla","(Ach.) J.R.Laundon","Pertusaria aspergilla","Pertusaria aspergilla","lichen"
7736,"Pertusaria bryontha","Pertusaria bryontha","Pertusaria bryontha","(Ach.) Nyl.","Pertusaria bryontha","Pertusaria bryontha","lichen"
7737,"Pertusaria carneopallida","Pertusaria carneopallida","Pertusaria carneopallida","(Nyl.) Anzi ex Nyl.","Pertusaria carneopallida","Pertusaria carneopallida","lichen"
7738,"Pertusaria chiodectonoides","Pertusaria chiodectonoides","Pertusaria chiodectonoides","Bagl. ex A.Massal.","Pertusaria chiodectonoides","Pertusaria chiodectonoides","lichen"
7739,"Pertusaria christae","Pertusaria christae","Pertusaria christae","DC., 1805","Pertusaria christae","Pertusaria christae","lichen"
7740,"Pertusaria coccodes","Pertusaria coccodes","Pertusaria coccodes","(Ach.) Nyl.","Pertusaria coccodes","Pertusaria coccodes","lichen"
7741,"Pertusaria colliculosa","Pertusaria colliculosa","Pertusaria colliculosa","(L.) Tuck.","Pertusaria colliculosa","Pertusaria colliculosa","lichen"
7742,"Pertusaria constricta","Pertusaria constricta","Pertusaria constricta","Erichsen","Pertusaria constricta","Pertusaria constricta","lichen"
7743,"Pertusaria corallina","Pertusaria corallina","Pertusaria corallina","(L.) Arnold","Pertusaria corallina","Pertusaria corallina","lichen"
7744,"Pertusaria coriacea","Pertusaria coriacea","Pertusaria coriacea","(Th.Fr.) Th.Fr.","Pertusaria coriacea","Pertusaria coriacea","lichen"
7745,"Pertusaria coronata","Pertusaria coronata","Pertusaria coronata","(Ach.) Th.Fr.","Pertusaria coronata","Pertusaria coronata","lichen"
7746,"Pertusaria dactylina","Pertusaria dactylina","Pertusaria dactylina","(Ach.) Hafellner","Pertusaria dactylina","Pertusaria dactylina","lichen"
7747,"Pertusaria dealbescens","Pertusaria dealbescens","Pertusaria dealbescens","(Ach.) Hafellner","Pertusaria dealbescens","Pertusaria dealbescens","lichen"
7748,"Pertusaria delisei","Pertusaria delisei","Pertusaria delisei","DC., 1805","Pertusaria delisei","Pertusaria delisei","lichen"
7749,"Pertusaria excludens","Pertusaria excludens","Pertusaria excludens","(Nyl.) Hafellner","Pertusaria excludens","Pertusaria excludens","lichen"
7750,"Pertusaria flavicans","Pertusaria flavicans","Pertusaria flavicans","Lamy","Pertusaria flavicans","Pertusaria flavicans","lichen"
7751,"Pertusaria flavicans var. schistosa","Pertusaria flavicans var. schistosa","Pertusaria flavicans var. schistosa","Nyl.","Pertusaria flavicans var. schistosa","Pertusaria flavicans var. schistosa","lichen"
7752,"Pertusaria flavida","Pertusaria flavida","Pertusaria flavida","(DC.) J.R.Laundon","Pertusaria flavida","Pertusaria flavida","lichen"
7753,"Pertusaria geminipara","Pertusaria geminipara","Pertusaria geminipara","(Th.Fr.) T.Sprib. & Resl","Pertusaria geminipara","Pertusaria geminipara","lichen"
7754,"Pertusaria glomerata","Pertusaria glomerata","Pertusaria glomerata","(Ach.) Schaer.","Pertusaria glomerata","Pertusaria glomerata","lichen"
7755,"Pertusaria hemisphaerica","Pertusaria hemisphaerica","Pertusaria hemisphaerica","(Flörke) I.Schmitt & Lumbsch","Pertusaria hemisphaerica","Pertusaria hemisphaerica","lichen"
7756,"Pertusaria hymenea","Pertusaria hymenea","Pertusaria hymenea","(Ach.) Schaer.","Pertusaria hymenea","Pertusaria hymenea","lichen"
7757,"Pertusaria isidioides","Pertusaria isidioides","Pertusaria isidioides","(Borrer) Hook.","Pertusaria isidioides","Pertusaria isidioides","lichen"
7758,"Pertusaria lactea","Varicellaria lactea","Varicellaria lactea","(L.) I.Schmitt & Lumbsch","Pertusaria lactea","Pertusaria lactea","lichen"
7759,"Pertusaria lactea f. faginea","Pertusaria lactea f. faginea","Pertusaria lactea f. faginea","(L.) I.Schmitt & Lumbsch","Pertusaria lactea f. faginea","Pertusaria lactea f. faginea","lichen"
7760,"Pertusaria leioplaca","Pertusaria leioplaca","Pertusaria leioplaca","(Ach.) DC.","Pertusaria leioplaca","Pertusaria leioplaca","lichen"
7761,"Pertusaria leucosora","Pertusaria leucosora","Pertusaria leucosora","Nyl.","Pertusaria leucosora","Pertusaria leucosora","lichen"
7762,"Pertusaria multipuncta","Pertusaria multipuncta","Pertusaria multipuncta","(Turner) Hafellner","Pertusaria multipuncta","Pertusaria multipuncta","lichen"
7763,"Pertusaria obtecta","Pertusaria obtecta","Pertusaria obtecta","DC., 1805","Pertusaria obtecta","Pertusaria obtecta","lichen"
7764,"Pertusaria octomela","Pertusaria octomela","Pertusaria octomela","(Norman) Erichsen","Pertusaria octomela","Pertusaria octomela","lichen"
7765,"Pertusaria oculata","Pertusaria oculata","Pertusaria oculata","(Dicks.) Th.Fr.","Pertusaria oculata","Pertusaria oculata","lichen"
7766,"Pertusaria ophthalmiza","Pertusaria ophthalmiza","Pertusaria ophthalmiza","(Nyl.) Nyl.","Pertusaria ophthalmiza","Pertusaria ophthalmiza","lichen"
7767,"Pertusaria pertusa","Pertusaria pertusa","Pertusaria pertusa","(L.) Tuck.","Pertusaria pertusa","Pertusaria pertusa","lichen"
7768,"Pertusaria pertusa var. rupestris","Pertusaria pertusa var. rupestris","Pertusaria pertusa var. rupestris","(L.) Tuck.","Pertusaria pertusa var. rupestris","Pertusaria pertusa var. rupestris","lichen"
7769,"Pertusaria pseudocorallina","Pertusaria pseudocorallina","Pertusaria pseudocorallina","(Lilj.) Arnold","Pertusaria pseudocorallina","Pertusaria pseudocorallina","lichen"
7770,"Pertusaria puppilaris","Pertusaria puppilaris","Pertusaria puppilaris","(Nyl.) Th.Fr.","Pertusaria puppilaris","Pertusaria puppilaris","lichen"
7771,"Pertusaria pustulata","Pertusaria pustulata","Pertusaria pustulata","(Ach.) Duby","Pertusaria pustulata","Pertusaria pustulata","lichen"
7772,"Pertusaria scepusiensis","Pertusaria scepusiensis","Pertusaria scepusiensis","DC., 1805","Pertusaria scepusiensis","Pertusaria scepusiensis","lichen"
7773,"Pertusaria sommerfeltii","Pertusaria sommerfeltii","Pertusaria sommerfeltii","(Flörke ex Sommerf.) Fr.","Pertusaria sommerfeltii","Pertusaria sommerfeltii","lichen"
7774,"Pertusaria stalactiza","Pertusaria stalactiza","Pertusaria stalactiza","Nyl.","Pertusaria stalactiza","Pertusaria stalactiza","lichen"
7775,"Pertusaria tiroliensis","Pertusaria tiroliensis","Pertusaria tiroliensis","(Erichsen) Hafellner & Türk","Pertusaria tiroliensis","Pertusaria tiroliensis","lichen"
7776,"Pertusaria trachythallina","Pertusaria trachythallina","Pertusaria trachythallina","Erichsen","Pertusaria trachythallina","Pertusaria trachythallina","lichen"
7777,"Pertusaria tumidula","Pertusaria tumidula","Pertusaria tumidula","(L.) A.Massal.","Pertusaria tumidula","Pertusaria tumidula","lichen"
7778,"Pertusaria velata","Pertusaria velata","Pertusaria velata","(Turner) I.Schmitt & Lumbsch","Pertusaria velata","Pertusaria velata","lichen"
7779,"Pertusaria waghornei","Pertusaria waghornei","Pertusaria waghornei","(Hulting) Lendemer & R.C.Harris","Pertusaria waghornei","Pertusaria waghornei","lichen"
7780,"Pertusaria species","Pertusaria","Pertusaria","Nyl.","Pertusaria species","Pertusaria","lichen"
7781,"Petalophyllum ralfsii","Petalophyllum ralfsii","Petalophyllum ralfsii","(Wilson) Nees & Gottsche ex Lehm.","Petalophyllum ralfsii","Petalophyllum ralfsii","bryophyte"
7782,"Petalophyllum species","Petalophyllum","Petalophyllum","Nees & Gottsche ex Lehm.","Petalophyllum species","Petalophyllum","bryophyte"
7783,"Petasites albus","Petasites albus","Petasites albus","(L.) Gaertn.","Petasites albus","Petasites albus","vascular"
7784,"Petasites hybridus","Petasites hybridus","Petasites hybridus","(L.) G.Gaertn., B.Mey. & Scherb.","Petasites hybridus","Petasites hybridus","vascular"
7785,"Petasites kablikianus","Petasites kablikianus","Petasites kablikianus","Tausch ex Bercht.","Petasites kablikianus","Petasites kablikianus","vascular"
7786,"Petasites paradoxus","Petasites paradoxus","Petasites paradoxus","(Retz.) Baumg.","Petasites paradoxus","Petasites paradoxus","vascular"
7787,"Petasites japonicus","Petasites japonicus","Petasites japonicus","(Siebold & Zucc.) Maxim.","Petasites japonicus","Petasites japonicus","vascular"
7788,"Petasites species","Petasites","Petasites","Mill.","Petasites species","Petasites","vascular"
7789,"Petractis clausa","Petractis clausa","Petractis clausa","(Hoffm.) Kremp.","Petractis clausa","Petractis clausa","lichen"
7790,"Petractis hypoleuca","Petractis hypoleuca","Petractis hypoleuca","(Ach.) Vĕzda","Petractis hypoleuca","Petractis hypoleuca","lichen"
7791,"Petractis species","Petractis","Petractis","Fr.","Petractis species","Petractis","lichen"
7792,"Petrocallis pyrenaica","Petrocallis pyrenaica","Petrocallis pyrenaica","(L.) W.T.Aiton","Petrocallis pyrenaica","Petrocallis pyrenaica","vascular"
7793,"Petrocallis species","Petrocallis","Petrocallis","W.T.Aiton","Petrocallis species","Petrocallis","vascular"
7794,"Petrorhagia prolifera","Petrorhagia prolifera","Petrorhagia prolifera","(L.) P.W.Ball & Heywood","Petrorhagia prolifera","Petrorhagia prolifera","vascular"
7795,"Petrorhagia saxifraga","Petrorhagia saxifraga","Petrorhagia saxifraga","(L.) Link","Petrorhagia saxifraga","Petrorhagia saxifraga","vascular"
7796,"Petrorhagia species","Petrorhagia","Petrorhagia","(Ser.) Link","Petrorhagia species","Petrorhagia","vascular"
7797,"Petroselinum crispum","Petroselinum crispum","Petroselinum crispum","(Mill.) Fuss","Petroselinum crispum","Petroselinum crispum","vascular"
7798,"Petroselinum species","Petroselinum","Petroselinum","Hill.","Petroselinum species","Petroselinum","vascular"
7799,"Petunia x atkinsiana","Petunia ×atkinsiana","Petunia x atkinsiana","D.Don ex Loudon","Petunia x atkinsiana","Petunia x atkinsiana","vascular"
7800,"Petunia species","Petunia","Petunia","Juss.","Petunia species","Petunia","vascular"
7801,"Peucedanum alsaticum","Peucedanum alsaticum","Peucedanum alsaticum","L.","Peucedanum alsaticum","Peucedanum alsaticum","vascular"
7802,"Peucedanum arenarium","Peucedanum arenarium","Peucedanum arenarium","Waldst. & Kit.","Peucedanum arenarium","Peucedanum arenarium","vascular"
7803,"Peucedanum austriacum s.str.","Peucedanum austriacum","Peucedanum austriacum","(Jacq.) W.D.J.Koch","Peucedanum austriacum","Peucedanum austriacum","vascular"
7804,"Peucedanum austriacum agg.","Peucedanum austriacum agg.","Peucedanum austriacum agg.","(Linnaeus, 1753) Moench, 1794","Peucedanum austriacum agg.","Peucedanum austriacum agg.","vascular"
7805,"Peucedanum carvifolia","Peucedanum carvifolia","Peucedanum carvifolia","Vill.","Peucedanum carvifolia","Peucedanum carvifolia","vascular"
7806,"Peucedanum cervaria","Peucedanum cervaria","Peucedanum cervaria","(L.) Lapeyr.","Peucedanum cervaria","Peucedanum cervaria","vascular"
7807,"Peucedanum officinale","Peucedanum officinale","Peucedanum officinale","L.","Peucedanum officinale","Peucedanum officinale","vascular"
7808,"Peucedanum oreoselinum","Peucedanum oreoselinum","Peucedanum oreoselinum","(L.) Moench","Peucedanum oreoselinum","Peucedanum oreoselinum","vascular"
7809,"Peucedanum ostruthium","Peucedanum ostruthium","Peucedanum ostruthium","(L.) W.D.J.Koch","Peucedanum ostruthium","Peucedanum ostruthium","vascular"
7810,"Peucedanum palustre","Peucedanum palustre","Peucedanum palustre","(L.) Moench","Peucedanum palustre","Peucedanum palustre","vascular"
7811,"Peucedanum rablense","Peucedanum rablense","Peucedanum rablense","(Wulfen) W.D.J.Koch","Peucedanum rablense","Peucedanum rablense","vascular"
7812,"Peucedanum verticillare","Peucedanum altissimum","Peucedanum altissimum","(Mill.) Thell.","Peucedanum altissimum","Peucedanum altissimum","vascular"
7813,"Peucedanum species","Peucedanum","Peucedanum","L.","Peucedanum species","Peucedanum","vascular"
7814,"Phacelia congesta","Phacelia congesta","Phacelia congesta","(Douglas ex Lehm.) Hook.","Phacelia congesta","Phacelia congesta","vascular"
7815,"Phacelia tanacetifolia","Phacelia tanacetifolia","Phacelia tanacetifolia","Benth.","Phacelia tanacetifolia","Phacelia tanacetifolia","vascular"
7816,"Phacelia species","Phacelia","Phacelia","Juss.","Phacelia species","Phacelia","vascular"
7817,"Phacopsis huuskonenii","Phacopsis huuskonenii","Phacopsis huuskonenii","(Räsänen) Divakar, A.Crespo & Lumbsch","Phacopsis huuskonenii","Phacopsis huuskonenii","lichen"
7818,"Phacopsis oxyspora","Phacopsis oxyspora","Phacopsis oxyspora","(Tul.) Divakar, A.Crespo & Lumbsch","Phacopsis oxyspora","Phacopsis oxyspora","lichen"
7819,"Phacopsis vulpina","Phacopsis vulpina","Phacopsis vulpina","Tul.","Phacopsis vulpina","Phacopsis vulpina","lichen"
7820,"Phacopsis species","Phacopsis","Phacopsis","L.","Phacopsis species","Phacopsis","lichen"
7821,"Phaecolicium compressulum","Phaecolicium compressulum","Phaecolicium compressulum",NA,"Phaecolicium compressulum","Phaecolicium compressulum","lichen"
7822,"Phaecolicium species","Phaecolicium","Phaecolicium",NA,"Phaecolicium species","Phaecolicium","lichen"
7823,"Phaeocalicium populneum","Phaeocalicium populneum","Phaeocalicium populneum","(Brond. ex Duby) A.F.W.Schmidt","Phaeocalicium populneum","Phaeocalicium populneum","lichen"
7824,"Phaeocalicium praecedens","Phaeocalicium praecedens","Phaeocalicium praecedens","(Nyl.) A.F.W.Schmidt","Phaeocalicium praecedens","Phaeocalicium praecedens","lichen"
7825,"Phaeocalicium species","Phaeocalicium","Phaeocalicium","A.F.W.Schmidt","Phaeocalicium species","Phaeocalicium","lichen"
7826,"Phaeoceros bulbiculosus","Phaeoceros bulbiculosus","Phaeoceros bulbiculosus","(Brot.) Stotler, W.T.Doyle & Crand.-Stotl.","Phaeoceros bulbiculosus","Phaeoceros bulbiculosus","bryophyte"
7827,"Phaeoceros corolinianus","Phaeoceros corolinianus","Phaeoceros corolinianus","(Michx.) Prosk.","Phaeoceros corolinianus","Phaeoceros corolinianus","bryophyte"
7828,"Phaeoceros laevis","Phaeoceros carolinianus","Phaeoceros carolinianus","(Michx.) Prosk.","Phaeoceros carolinianus","Phaeoceros carolinianus","bryophyte"
7829,"Phaeoceros species","Phaeoceros","Phaeoceros","(Linnaeus, 1753) Prosk.","Phaeoceros species","Phaeoceros","bryophyte"
7830,"Phaeographis dendritica","Phaeographis dendritica","Phaeographis dendritica","(Ach.) Müll.Arg.","Phaeographis dendritica","Phaeographis dendritica","lichen"
7831,"Phaeographis species","Phaeographis","Phaeographis","Müll.Arg., 1882","Phaeographis species","Phaeographis","lichen"
7832,"Phaeophyscia cernohorskyi","Phaeophyscia cernohorskyi","Phaeophyscia cernohorskyi","(Nádv.) Essl.","Phaeophyscia cernohorskyi","Phaeophyscia cernohorskyi","lichen"
7833,"Phaeophyscia chloantha","Phaeophyscia chloantha","Phaeophyscia chloantha","(Ach.) Moberg","Phaeophyscia chloantha","Phaeophyscia chloantha","lichen"
7834,"Phaeophyscia ciliata","Phaeophyscia ciliata","Phaeophyscia ciliata","(Hoffm.) Moberg","Phaeophyscia ciliata","Phaeophyscia ciliata","lichen"
7835,"Phaeophyscia constipata","Phaeophyscia constipata","Phaeophyscia constipata","(Norrl. & Nyl.) Moberg","Phaeophyscia constipata","Phaeophyscia constipata","lichen"
7836,"Phaeophyscia endococcina","Phaeophyscia endococcina","Phaeophyscia endococcina","(Körb.) Moberg","Phaeophyscia endococcina","Phaeophyscia endococcina","lichen"
7837,"Phaeophyscia endococcina var. lithotodes","Phaeophyscia endococcina var. lithotodes","Phaeophyscia endococcina var. lithotodes","(Körb.) Moberg","Phaeophyscia endococcina var. lithotodes","Phaeophyscia endococcina var. lithotodes","lichen"
7838,"Phaeophyscia endophoenicea","Phaeophyscia endophoenicea","Phaeophyscia endophoenicea","(Harm.) Moberg","Phaeophyscia endophoenicea","Phaeophyscia endophoenicea","lichen"
7839,"Phaeophyscia hirsuta","Phaeophyscia hirsuta","Phaeophyscia hirsuta","(Mereschk.) Essl.","Phaeophyscia hirsuta","Phaeophyscia hirsuta","lichen"
7840,"Phaeophyscia hispidula","Phaeophyscia hispidula","Phaeophyscia hispidula","(Ach.) Essl.","Phaeophyscia hispidula","Phaeophyscia hispidula","lichen"
7841,"Phaeophyscia insignis","Phaeophyscia insignis","Phaeophyscia insignis","(Mereschk.) Moberg","Phaeophyscia insignis","Phaeophyscia insignis","lichen"
7842,"Phaeophyscia kairamoi","Phaeophyscia kairamoi","Phaeophyscia kairamoi","(Vain.) Moberg","Phaeophyscia kairamoi","Phaeophyscia kairamoi","lichen"
7843,"Phaeophyscia labrata","Phaeophyscia labrata","Phaeophyscia labrata","Moberg, 1977","Phaeophyscia labrata","Phaeophyscia labrata","lichen"
7844,"Phaeophyscia nadvornikii","Phaeophyscia nadvornikii","Phaeophyscia nadvornikii","(Vain.) Moberg","Phaeophyscia nadvornikii","Phaeophyscia nadvornikii","lichen"
7845,"Phaeophyscia nigricans","Phaeophyscia nigricans","Phaeophyscia nigricans","(Flörke) Moberg","Phaeophyscia nigricans","Phaeophyscia nigricans","lichen"
7846,"Phaeophyscia opuntiella","Phaeophyscia opuntiella","Phaeophyscia opuntiella","(Buschardt & Poelt) Vĕzda","Phaeophyscia opuntiella","Phaeophyscia opuntiella","lichen"
7847,"Phaeophyscia orbicularis","Phaeophyscia orbicularis","Phaeophyscia orbicularis","(Neck.) Moberg","Phaeophyscia orbicularis","Phaeophyscia orbicularis","lichen"
7848,"Phaeophyscia pusilloides","Phaeophyscia pusilloides","Phaeophyscia pusilloides","(Zahlbr.) Essl.","Phaeophyscia pusilloides","Phaeophyscia pusilloides","lichen"
7849,"Phaeophyscia sciastra","Phaeophyscia sciastra","Phaeophyscia sciastra","(Ach.) Moberg","Phaeophyscia sciastra","Phaeophyscia sciastra","lichen"
7850,"Phaeophyscia stiriaca","Phaeophyscia stiriaca","Phaeophyscia stiriaca","(Poelt) Clauzade & Cl.Roux","Phaeophyscia stiriaca","Phaeophyscia stiriaca","lichen"
7851,"Phaeophyscia species","Phaeophyscia","Phaeophyscia","Moberg, 1977","Phaeophyscia species","Phaeophyscia","lichen"
7852,"Phaeopyxis punctum","Phaeopyxis punctum","Phaeopyxis punctum","(A.Massal.) Diederich & Pino-Bodas","Phaeopyxis punctum","Phaeopyxis punctum","lichen"
7853,"Phaeopyxis species","Phaeopyxis","Phaeopyxis",NA,"Phaeopyxis species","Phaeopyxis","lichen"
7854,"Phaeorrhiza nimbosa","Phaeorrhiza nimbosa","Phaeorrhiza nimbosa","(Fr.) H.Mayrhofer & Poelt","Phaeorrhiza nimbosa","Phaeorrhiza nimbosa","lichen"
7855,"Phaeorrhiza sareptana","Phaeorrhiza sareptana","Phaeorrhiza sareptana","(Tomin) H.Mayrhofer & Poelt, 1979","Phaeorrhiza sareptana","Phaeorrhiza sareptana","lichen"
7856,"Phaeorrhiza sareptana var. sphaerocarpa","Phaeorrhiza sareptana var. sphaerocarpa","Phaeorrhiza sareptana var. sphaerocarpa","(Th.Fr.) H.Mayrhofer & Poelt","Phaeorrhiza sareptana var. sphaerocarpa","Phaeorrhiza sareptana var. sphaerocarpa","lichen"
7857,"Phaeorrhiza species","Phaeorrhiza","Phaeorrhiza","H.Mayrhofer & Poelt, 1979","Phaeorrhiza species","Phaeorrhiza","lichen"
7858,"Phaeospora catolechiae","Phaeospora catolechiae","Phaeospora catolechiae","Zopf","Phaeospora catolechiae","Phaeospora catolechiae","lichen"
7859,"Phaeospora parasitica","Phaeospora parasitica","Phaeospora parasitica","(Lönnr.) Zopf","Phaeospora parasitica","Phaeospora parasitica","lichen"
7860,"Phaeospora peltigericola","Phaeospora peltigericola","Phaeospora peltigericola","Rehm","Phaeospora peltigericola","Phaeospora peltigericola","lichen"
7861,"Phaeospora rimosicola","Phaeospora rimosicola","Phaeospora rimosicola","(Leight.) Hepp ex Stein","Phaeospora rimosicola","Phaeospora rimosicola","lichen"
7862,"Phaeospora species","Phaeospora","Phaeospora",NA,"Phaeospora species","Phaeospora","lichen"
7863,"Phaeosporobolus usneae","Phaeosporobolus usneae","Phaeosporobolus usneae","D.Hawksw. & Hafellner","Phaeosporobolus usneae","Phaeosporobolus usneae","lichen"
7864,"Phaeosporobolus species","Phaeosporobolus","Phaeosporobolus","D.Hawksw. & Hafellner","Phaeosporobolus species","Phaeosporobolus","lichen"
7865,"Phalaris arundinacea","Phalaris arundinacea","Phalaris arundinacea","L.","Phalaris arundinacea","Phalaris arundinacea","vascular"
7866,"Phalaris brachystachys","Phalaris brachystachys","Phalaris brachystachys","Link","Phalaris brachystachys","Phalaris brachystachys","vascular"
7867,"Phalaris canariensis","Phalaris canariensis","Phalaris canariensis","L.","Phalaris canariensis","Phalaris canariensis","vascular"
7868,"Phalaris coerulescens","Phalaris coerulescens","Phalaris coerulescens","Desf.","Phalaris coerulescens","Phalaris coerulescens","vascular"
7869,"Phalaris minor","Phalaris minor","Phalaris minor","Retz.","Phalaris minor","Phalaris minor","vascular"
7870,"Phalaris paradoxa","Phalaris paradoxa","Phalaris paradoxa","L.","Phalaris paradoxa","Phalaris paradoxa","vascular"
7871,"Phalaris species","Phalaris","Phalaris","Leach","Phalaris species","Phalaris","vascular"
7872,"Pharcidia badiae","Pharcidia badiae","Pharcidia badiae","(Arnold) Triebel & P.Scholz","Pharcidia badiae","Pharcidia badiae","lichen"
7873,"Pharcidia ephebes","Pharcidia ephebes","Pharcidia ephebes","(Henssen) D.Hawksw.","Pharcidia ephebes","Pharcidia ephebes","lichen"
7874,"Pharcidia lacustris","Pharcidia lacustris","Pharcidia lacustris","(Arnold) Orange","Pharcidia lacustris","Pharcidia lacustris","lichen"
7875,"Pharcidia rivulorum","Pharcidia rivulorum","Pharcidia rivulorum","(Kernst.) Cl.Roux & Nav.-Ros.","Pharcidia rivulorum","Pharcidia rivulorum","lichen"
7876,"Pharcidia verrucariarum","Pharcidia verrucariarum","Pharcidia verrucariarum","(Arnold) Sacc. & D.Sacc., 1905","Pharcidia verrucariarum","Pharcidia verrucariarum","lichen"
7877,"Pharcidia species","Pharcidia","Pharcidia",NA,"Pharcidia species","Pharcidia","lichen"
7878,"Phascum acaulon","Tortula acaulon","Tortula acaulon","(With.) R.H.Zander","Tortula acaulon","Tortula acaulon","bryophyte"
7879,"Phascum curvicolle","Phascum curvicolle","Phascum curvicolle","(Hedw.) R.H.Zander","Phascum curvicolle","Phascum curvicolle","bryophyte"
7880,"Phascum cuspidatum","Tortula acaulon","Tortula acaulon","(With.) R.H.Zander","Tortula acaulon","Tortula acaulon","bryophyte"
7881,"Phascum cuspidatum var. cuspidatum","Phascum cuspidatum var. cuspidatum","Phascum cuspidatum var. cuspidatum","(With.) R.H.Zander","Phascum cuspidatum var. cuspidatum","Phascum cuspidatum var. cuspidatum","bryophyte"
7882,"Phascum cuspidatum var. mitraeforme","Phascum cuspidatum var. mitraeforme","Phascum cuspidatum var. mitraeforme","(With.) R.H.Zander","Phascum cuspidatum var. mitraeforme","Phascum cuspidatum var. mitraeforme","bryophyte"
7883,"Phascum cuspidatum var. piliferum","Tortula acaulon","Tortula acaulon","(With.) R.H.Zander","Tortula acaulon","Tortula acaulon","bryophyte"
7884,"Phascum cuynetii","Phascum cuynetii","Phascum cuynetii","(Bizot & R.B.Pierrot) J.Guerra & M.J.Cano","Phascum cuynetii","Phascum cuynetii","bryophyte"
7885,"Phascum floerkeanum","Phascum floerkeanum","Phascum floerkeanum","(F.Weber & D.Mohr) Schimp.","Phascum floerkeanum","Phascum floerkeanum","bryophyte"
7886,"Phascum leptophyllum","Phascum leptophyllum","Phascum leptophyllum","(Müll.Hal.) R.H.Zander","Phascum leptophyllum","Phascum leptophyllum","bryophyte"
7887,"Phascum longipes","Phascum longipes","Phascum longipes","(J.Guerra, J.J.Martínez & Ros) R.H.Zander","Phascum longipes","Phascum longipes","bryophyte"
7888,"Phascum piptocarpum","Phascum piptocarpum","Phascum piptocarpum","(Hedw.) R.H.Zander","Phascum piptocarpum","Phascum piptocarpum","bryophyte"
7889,"Phascum vlassovii","Phascum vlassovii","Phascum vlassovii","(Laz.) R.H.Zander","Phascum vlassovii","Phascum vlassovii","bryophyte"
7890,"Phascum species","Phascum","Phascum","Hedw.","Phascum species","Phascum","bryophyte"
7891,"Phaseolus coccineus","Phaseolus coccineus","Phaseolus coccineus","L.","Phaseolus coccineus","Phaseolus coccineus","vascular"
7892,"Phaseolus vulgaris","Phaseolus vulgaris","Phaseolus vulgaris","L.","Phaseolus vulgaris","Phaseolus vulgaris","vascular"
