"SPECIES_NR","TURBOVEG_NAME","KAPLAN_PLUS_NAME","KAPLAN_PLUS_NAME_SIMPLE","AUTHORSHIP","CZECHVEG_ESY_NAME","CZECHVEG_ESY_NAME_SUBSP","PLANT_GROUP"
1513,"Bromus hordeaceus","Bromus hordeaceus","Bromus hordeaceus","L.","Bromus hordeaceus","Bromus hordeaceus","vascular"
1514,"Bromus hordeaceus ssp. hordeaceus","Bromus hordeaceus subsp. hordeaceus","Bromus hordeaceus subsp. hordeaceus","L.","Bromus hordeaceus","Bromus hordeaceus","vascular"
1515,"Bromus inermis","Bromus inermis","Bromus inermis","Leyss.","Bromus inermis","Bromus inermis","vascular"
1516,"Bromus japonicus","Bromus japonicus","Bromus japonicus","Thunb.","Bromus japonicus","Bromus japonicus","vascular"
1517,"Bromus lanceolatus","Bromus lanceolatus","Bromus lanceolatus","Roth","Bromus lanceolatus","Bromus lanceolatus","vascular"
1518,"Bromus lepidus","Bromus lepidus","Bromus lepidus","Holmb.","Bromus lepidus","Bromus lepidus","vascular"
1519,"Bromus madritensis","Bromus madritensis","Bromus madritensis","L.","Bromus madritensis","Bromus madritensis","vascular"
1520,"Bromus pannonicus","Bromus pannonicus","Bromus pannonicus","Kumm. & Sendtn.","Bromus pannonicus","Bromus pannonicus","vascular"
1521,"Bromus pannonicus ssp. monocladus","Bromus pannonicus subsp. monocladus","Bromus pannonicus subsp. monocladus","(Domin) P.M.Sm.","Bromus pannonicus ssp. monocladus","Bromus pannonicus subsp. monocladus","vascular"
1522,"Bromus pannonicus ssp. pannonicus","Bromus pannonicus subsp. pannonicus","Bromus pannonicus subsp. pannonicus",NA,"Bromus pannonicus ssp. pannonicus","Bromus pannonicus subsp. pannonicus","vascular"
1523,"Bromus racemosus agg.","Bromus racemosus agg.","Bromus racemosus agg.","L.","Bromus racemosus agg.","Bromus racemosus agg.","vascular"
1524,"Bromus racemosus","Bromus racemosus","Bromus racemosus","L.","Bromus racemosus","Bromus racemosus","vascular"
1525,"Bromus ramosus agg.","Bromus ramosus agg.","Bromus ramosus agg.","L.","Bromus ramosus agg.","Bromus ramosus agg.","vascular"
1526,"Bromus ramosus","Bromus ramosus","Bromus ramosus","Huds.","Bromus ramosus agg.","Bromus ramosus agg.","vascular"
1527,"Bromus rigidus","Bromus diandrus","Bromus diandrus","Roth","Bromus diandrus","Bromus diandrus","vascular"
1528,"Bromus secalinus agg.","Bromus secalinus","Bromus secalinus","L.","Bromus secalinus","Bromus secalinus","vascular"
1529,"Bromus secalinus","Bromus secalinus","Bromus secalinus","L.","Bromus secalinus","Bromus secalinus","vascular"
1530,"Bromus squarrosus","Bromus squarrosus","Bromus squarrosus","L.","Bromus squarrosus","Bromus squarrosus","vascular"
1531,"Bromus sterilis","Bromus sterilis","Bromus sterilis","L.","Bromus sterilis","Bromus sterilis","vascular"
1532,"Bromus tectorum","Bromus tectorum","Bromus tectorum","L.","Bromus tectorum","Bromus tectorum","vascular"
1533,"Bromus willdenowii","Bromus catharticus","Bromus catharticus","Vahl","Bromus catharticus","Bromus catharticus","vascular"
1534,"Bromus catharticus","Bromus catharticus","Bromus catharticus","Vahl","Bromus catharticus","Bromus catharticus","vascular"
1535,"Bromus rubens","Bromus rubens","Bromus rubens","L.","Bromus rubens","Bromus rubens","vascular"
1536,"Bromus scoparius","Bromus scoparius","Bromus scoparius","L.","Bromus scoparius","Bromus scoparius","vascular"
1537,"Bromus species","Bromus","Bromus","L.","Bromus species","Bromus","vascular"
1538,"Brotherella lorentziana","Brotherella lorentziana","Brotherella lorentziana","(Molendo ex Lorentz) Loeske ex M.Fleisch.","Brotherella lorentziana","Brotherella lorentziana","bryophyte"
1539,"Brotherella species","Brotherella","Brotherella","Loeske ex M.Fleisch.","Brotherella species","Brotherella","bryophyte"
1540,"Broussonetia papyrifera","Broussonetia papyrifera","Broussonetia papyrifera","(L.) L'Hér. ex Vent.","Broussonetia papyrifera","Broussonetia papyrifera","vascular"
