NameOrig,NameKaplan,Rank,light,temperature,moisture,reaction,nutrients,salinity,light_x,temperature_x,moisture_x,reaction_x,nutrients_x
Tephroseris aurantiaca,Tephroseris aurantiaca,species,7,6,5,7,3,0,7,6,5,7,3
Tephroseris crispa,Tephroseris crispa,species,6,5,8,4,5,0,6,5,8,4,5
Tephroseris integrifolia,Tephroseris integrifolia,species,7,6,4,8,3,0,7,6,4,8,x
Tephroseris longifolia,Tephroseris longifolia,species,7,6,5,7,4,0,7,6,5,7,4
Tephroseris longifolia ssp. moravica,Tephroseris longifolia subsp. moravica,subspecies,7,6,5,7,4,0,7,6,5,7,4
Teucrium botrys,Teucrium botrys,species,9,6,2,8,3,0,9,6,2,8,3
Teucrium chamaedrys,Teucrium chamaedrys,species,7,7,3,8,3,0,7,7,3,8,3
Teucrium montanum,Teucrium montanum,species,9,7,1,9,2,0,9,7,1,9,2
Teucrium montanum ssp. montanum,Teucrium montanum subsp. montanum,subspecies,9,7,1,9,2,0,9,7,1,9,2
Teucrium scordium,Teucrium scordium,species,7,7,8,7,6,2,7,7,8,7,6
Teucrium scorodonia,Teucrium scorodonia,species,6,5,4,2,4,0,6,5,4,2,4
Teucrium scorodonia ssp. scorodonia,Teucrium scorodonia subsp. scorodonia,subspecies,6,5,4,2,4,0,6,5,4,2,4
Thalictrum aquilegiifolium,Thalictrum aquilegiifolium,species,5,4,7,6,7,0,x,x,7,6,7
Thalictrum flavum,Thalictrum flavum,species,7,6,8,8,6,0,7,6,8,8,6
Thalictrum foetidum,Thalictrum foetidum,species,7,6,2,9,3,0,7,6,2,9,3
Thalictrum lucidum,Thalictrum lucidum,species,7,6,8,7,6,1,7,6,8,7,6
Thalictrum minus,Thalictrum minus,species,6,7,3,8,3,0,6,7,3,8,3
Thalictrum minus ssp. minus,Thalictrum minus subsp. minus,subspecies,6,7,3,8,3,0,6,7,3,8,3
Thalictrum simplex,Thalictrum simplex,species,7,6,7,7,4,0,7,6,7,7,4
Thalictrum simplex ssp. galioides,Thalictrum simplex subsp. galioides,subspecies,7,6,7,7,4,0,7,6,7,7,4
Thelypteris limbosperma,Oreopteris limbosperma,species,4,4,6,3,4,0,x,4,6,3,4
Thelypteris palustris,Thelypteris palustris,species,6,6,9,5,5,0,x,6,9,5,5
Thesium alpinum,Thesium alpinum,species,7,4,4,6,2,0,7,4,4,6,2
Thesium bavarum,Thesium bavarum,species,7,6,3,8,2,0,7,6,3,8,2
Thesium dollineri,Thesium dollineri,species,7,7,3,8,3,0,7,7,3,8,3
Thesium ebracteatum,Thesium ebracteatum,species,7,6,6,4,2,0,7,6,6,4,2
Thesium linophyllon,Thesium linophyllon,species,7,7,3,8,3,0,7,7,3,8,3
Thesium pyrenaicum,Thesium pyrenaicum,species,7,5,4,4,2,0,7,5,4,4,2
Thesium ramosum,Thesium ramosum,species,7,7,3,8,3,0,7,7,3,8,3
Thesium rostratum,Thesium rostratum,species,6,5,3,8,2,0,6,5,3,8,2
Thlaspi arvense,Thlaspi arvense,species,7,5,5,7,7,0,7,5,5,7,7
Thymelaea passerina,Thymelaea passerina,species,7,7,4,8,5,0,7,7,4,8,5
Thymus alpestris,Thymus alpestris,species,7,3,5,5,3,0,7,3,5,5,3
Thymus glabrescens,Thymus glabrescens,species,8,7,2,8,3,0,8,7,2,8,3
Thymus pannonicus,Thymus pannonicus,species,8,7,3,7,3,0,8,7,3,7,3
Thymus pannonicus agg.,Thymus pannonicus agg.,aggregate,8,7,3,7,3,0,8,7,3,7,3
Thymus praecox,Thymus praecox,species,8,6,2,7,2,0,8,6,2,7,2
Thymus praecox ssp. praecox,Thymus praecox subsp. praecox,subspecies,8,6,2,7,2,0,8,6,2,7,2
Thymus pulegioides,Thymus pulegioides,species,7,6,4,6,3,0,7,6,4,x,3
Thymus pulegioides ssp. carniolicus,Thymus pulegioides subsp. carniolicus,subspecies,7,6,4,8,3,0,7,6,4,x,3
Thymus pulegioides ssp. chamaedrys,Thymus pulegioides subsp. chamaedrys,subspecies,7,6,4,6,3,0,7,6,4,x,3
Thymus pulegioides ssp. montanus,Thymus pulegioides subsp. montanus,subspecies,7,6,4,6,3,0,7,6,4,x,3
Thymus pulcherrimus,Thymus pulcherrimus,species,8,3,5,7,3,0,8,3,5,7,3
Thymus pulcherrimus ssp. sudeticus,Thymus pulcherrimus subsp. sudeticus,subspecies,8,3,5,7,3,0,8,3,5,7,3
Thymus serpyllum,Thymus serpyllum,species,7,6,2,4,2,0,7,6,2,4,2
Tilia cordata,Tilia cordata,species,4,6,5,6,5,0,4,6,5,x,5
Tilia platyphyllos,Tilia platyphyllos,species,4,6,5,7,7,0,4,6,5,x,7
Tilia platyphyllos ssp. cordifolia,Tilia platyphyllos subsp. cordifolia,subspecies,4,6,5,7,7,0,4,6,5,x,7
Tilia platyphyllos ssp. platyphyllos,Tilia platyphyllos subsp. platyphyllos,subspecies,4,6,5,7,7,0,4,6,5,x,7
