NameOrig,NameKaplan,Rank,light,temperature,moisture,reaction,nutrients,salinity,light_x,temperature_x,moisture_x,reaction_x,nutrients_x
Cirsium eriophorum,Cirsium eriophorum,species,8,6,4,8,5,0,8,x,4,8,5
Cirsium heterophyllum,Cirsium heterophyllum,species,7,4,8,5,6,0,7,4,8,5,6
Cirsium oleraceum,Cirsium oleraceum,species,6,5,8,7,7,0,6,x,8,7,7
Cirsium palustre,Cirsium palustre,species,7,5,8,4,5,0,7,x,8,4,5
Cirsium pannonicum,Cirsium pannonicum,species,7,7,4,8,4,0,7,7,4,8,4
Cirsium rivulare,Cirsium rivulare,species,8,5,8,7,6,0,8,5,8,7,6
Cirsium tuberosum,Cirsium tuberosum,species,7,6,6,8,3,0,7,6,6,8,3
Cirsium vulgare,Cirsium vulgare,species,8,5,5,7,8,1,8,5,5,7,8
Citrullus lanatus,Citrullus lanatus,species,9,7,5,7,8,1,9,7,5,7,8
Cladium mariscus,Cladium mariscus,species,9,6,10,9,4,2,9,6,10,9,4
Claytonia perfoliata,Claytonia perfoliata,species,6,6,5,7,7,0,6,6,5,7,7
Cleistogenes serotina,Cleistogenes serotina,species,9,8,1,8,2,0,9,8,1,8,2
Clematis integrifolia,Clematis integrifolia,species,7,7,7,6,6,1,7,7,7,6,6
Clematis recta,Clematis recta,species,6,7,3,8,4,0,6,7,3,8,4
Clematis vitalba,Clematis vitalba,species,7,7,5,7,7,0,7,7,5,7,7
Clinopodium vulgare,Clinopodium vulgare,species,6,6,4,7,4,0,6,x,4,7,4
Clinopodium vulgare ssp. vulgare,Clinopodium vulgare subsp. vulgare,subspecies,6,6,4,7,4,0,6,x,4,7,4
Cnidium dubium,Cnidium dubium,species,7,7,8,6,6,1,7,7,8,6,x
Coeloglossum viride,Coeloglossum viride,species,8,4,4,4,2,0,8,4,4,4,2
Coleanthus subtilis,Coleanthus subtilis,species,9,6,9,5,5,0,9,6,9,5,5
Colchicum autumnale,Colchicum autumnale,species,6,5,6,6,5,1,6,5,6,6,x
Colutea arborescens,Colutea arborescens,species,6,8,3,8,5,1,6,8,3,8,5
Comarum palustre,Comarum palustre,species,8,4,9,3,2,0,8,4,9,3,2
Commelina communis,Commelina communis,species,8,7,5,7,7,0,8,7,5,7,7
Conioselinum tataricum,Conioselinum tataricum,species,7,4,6,8,7,0,7,4,6,8,7
Conium maculatum,Conium maculatum,species,8,6,6,7,8,1,8,6,6,x,8
Conringia orientalis,Conringia orientalis,species,8,7,3,9,4,0,8,7,3,9,4
Consolida ajacis,Consolida ajacis,species,8,7,4,7,6,0,8,7,4,7,6
Consolida hispanica,Consolida hispanica,species,8,7,4,8,6,0,8,7,4,8,6
Consolida regalis,Consolida regalis,species,7,7,4,7,6,0,7,7,4,7,6
Consolida regalis ssp. regalis,Consolida regalis subsp. regalis,subspecies,7,7,4,7,6,0,7,7,4,7,6
Convallaria majalis,Convallaria majalis,species,4,5,5,5,4,0,4,5,5,x,4
Convallaria majalis var. majalis,Convallaria majalis var. majalis,variant,4,5,5,5,4,0,4,5,5,x,4
Convallaria majalis var. transcaucasica,Convallaria majalis var. transcaucasica,variant,4,5,5,5,4,0,4,5,5,x,4
Convolvulus arvensis,Convolvulus arvensis,species,7,6,4,7,6,1,7,x,4,7,x
Conyza bonariensis,Conyza bonariensis,species,8,9,4,7,6,1,8,9,4,7,6
Conyza canadensis,Conyza canadensis,species,8,6,4,6,6,1,8,6,4,x,6
Corallorhiza trifida,Corallorhiza trifida,species,2,4,5,4,3,0,2,4,5,4,x
Cornus mas,Cornus mas,species,6,7,4,8,5,0,6,7,4,8,5
Cornus sanguinea,Cornus sanguinea,species,6,6,5,7,5,0,6,6,5,7,x
Cornus sanguinea ssp. australis,Cornus sanguinea subsp. australis,subspecies,6,6,5,7,5,0,6,6,5,7,x
Cornus sanguinea ssp. hungarica,Cornus sanguinea subsp. hungarica,subspecies,6,6,5,7,5,0,6,6,5,7,x
Cornus sanguinea ssp. sanguinea,Cornus sanguinea subsp. sanguinea,subspecies,6,6,5,7,5,0,6,6,5,7,x
Cornus sericea,Cornus sericea,species,6,5,6,7,5,0,6,5,6,7,5
Coronilla vaginalis,Coronilla vaginalis,species,8,5,3,9,2,0,8,5,3,9,2
Corrigiola littoralis,Corrigiola litoralis,species,9,6,6,7,5,0,9,6,6,7,5
Cortusa matthioli,Cortusa matthioli,species,5,4,6,7,6,0,5,4,6,7,6
Cortusa matthioli ssp. moravica,Cortusa matthioli subsp. moravica,subspecies,5,4,6,7,6,0,5,4,6,7,6
Corydalis cava,Corydalis cava,species,4,6,6,7,7,0,4,6,6,7,7
Corydalis cava ssp. cava,Corydalis cava subsp. cava,subspecies,4,6,6,7,7,0,4,6,6,7,7
Corydalis intermedia,Corydalis intermedia,species,4,5,5,7,7,0,4,5,5,7,7
Corydalis pumila,Corydalis pumila,species,4,6,5,8,7,0,4,6,5,8,7
Corydalis solida,Corydalis solida,species,4,6,5,7,7,0,4,6,5,7,7
Corydalis solida ssp. solida,Corydalis solida subsp. solida,subspecies,4,6,5,7,7,0,4,6,5,7,7
Corylus avellana,Corylus avellana,species,6,5,5,6,6,0,x,5,x,x,6
Corynephorus canescens,Corynephorus canescens,species,8,6,2,3,2,0,8,6,2,3,2
Cota austriaca,Anthemis austriaca,species,7,7,4,7,6,0,7,7,4,7,6
Cota tinctoria,Anthemis tinctoria,species,8,6,3,6,4,0,8,6,3,6,4
Cota tinctoria ssp. subtinctoria,Anthemis tinctoria subsp. subtinctoria,subspecies,8,6,3,6,4,0,8,6,3,6,4
Cota tinctoria ssp. tinctoria,Anthemis tinctoria subsp. tinctoria,subspecies,8,6,3,6,4,0,8,6,3,6,4
Cotinus coggygria,Cotinus coggygria,species,6,8,3,7,4,0,6,8,3,7,4
Cotoneaster horizontalis,Cotoneaster horizontalis,species,7,6,5,6,6,0,7,6,5,6,6
Cotoneaster integerrimus,Cotoneaster integerrimus,species,8,6,3,7,3,0,8,6,3,7,3
Cotoneaster laxiflorus,Cotoneaster laxiflorus,species,7,6,4,7,3,0,7,6,4,7,3
Cotula coronopifolia,Cotula coronopifolia,species,9,6,7,7,7,5,9,6,7,7,7
Crambe maritima,Crambe maritima,species,9,6,6,7,8,4,9,6,6,7,8
Crambe tataria,Crambe tataria,species,9,8,3,8,3,0,9,8,3,8,3
Crataegus levigata,Crataegus laevigata,species,5,6,5,7,5,0,x,6,5,7,5
Crataegus levigata agg.,Crataegus laevigata agg.,aggregate,5,6,5,7,5,0,x,6,5,7,5
Crataegus monogyna,Crataegus monogyna,species,6,6,4,7,5,0,x,6,4,7,5
Crepis biennis,Crepis biennis,species,7,5,5,6,6,1,7,5,5,6,6
Crepis capillaris,Crepis capillaris,species,7,6,5,6,4,0,7,6,5,6,4
Crepis conyzifolia,Crepis conyzifolia,species,8,3,5,3,3,0,8,3,5,3,3
Crepis foetida,Crepis foetida,species,9,7,4,7,4,0,9,7,4,7,4
Crepis foetida ssp. foetida,Crepis foetida subsp. foetida,subspecies,9,7,4,7,4,0,9,7,4,7,4
Crepis foetida ssp. rhoeadifolia,Crepis foetida subsp. rhoeadifolia,subspecies,9,7,4,7,4,0,9,7,4,7,4
Crepis mollis,Crepis mollis,species,7,4,6,5,6,0,7,4,6,5,6
Crepis mollis ssp. mollis,Crepis mollis subsp. mollis,subspecies,7,4,6,5,6,0,7,4,6,5,6
Crepis mollis ssp. succisifolia,Crepis mollis subsp. succisifolia,subspecies,7,4,6,5,6,0,7,4,6,5,6
Crepis nicaeensis,Crepis nicaeensis,species,8,6,4,7,6,1,8,6,4,7,6
Crepis paludosa,Crepis paludosa,species,5,5,8,6,6,0,5,x,8,6,6
Crepis pannonica,Crepis pannonica,species,8,7,3,8,4,0,8,7,3,8,4
Crepis praemorsa,Crepis praemorsa,species,6,7,4,8,3,0,6,7,4,8,3
Crepis setosa,Crepis setosa,species,9,7,4,7,6,0,9,7,4,7,6
Crepis sibirica,Crepis sibirica,species,5,4,5,7,6,0,5,4,5,7,6
Crepis tectorum,Crepis tectorum,species,8,6,4,6,5,0,8,6,4,x,5
Crepis tectorum ssp. tectorum,Crepis tectorum subsp. tectorum,subspecies,8,6,4,6,5,0,8,6,4,x,5
Crocus albiflorus,Crocus albiflorus,species,7,3,5,6,4,0,7,3,5,6,x
Crocus heuffelianus,Crocus heuffelianus,species,7,5,5,6,4,0,7,5,5,6,4
Cruciata laevipes,Cruciata laevipes,species,7,5,6,7,7,0,7,5,6,7,7
Cruciata pedemontana,Cruciata pedemontana,species,8,7,3,7,3,0,8,7,3,7,3
Cruciata verna,Cruciata verna,species,7,6,5,6,5,0,x,6,5,6,5
Crypsis aculeata,Crypsis aculeata,species,9,8,7,7,7,9,9,8,7,7,7
Crypsis alopecuroides,Crypsis alopecuroides,species,9,8,7,7,7,6,9,8,7,7,7
Crypsis schoenoides,Crypsis schoenoides,species,9,8,7,7,7,9,9,8,7,7,7
Cryptogramma crispa,Cryptogramma crispa,species,8,3,5,2,2,0,8,3,5,2,2
Cucumis sativus,Cucumis sativus,species,8,6,5,7,8,1,8,6,5,7,8
Cucurbita pepo,Cucurbita pepo,species,8,7,5,7,8,1,8,7,5,7,8
Cuscuta epithymum,Cuscuta epithymum,species,7,6,4,7,3,0,7,6,x,x,3
Cuscuta epithymum ssp. epithymum,Cuscuta epithymum subsp. epithymum,subspecies,7,6,4,7,3,0,7,6,x,x,3
Cuscuta europaea,Cuscuta europaea,species,6,6,7,7,8,0,6,6,7,x,8
Cyclamen purpurascens,Cyclamen purpurascens,species,4,6,5,7,5,0,4,6,5,7,5
Cymbalaria muralis,Cymbalaria muralis,species,6,7,4,8,5,0,6,7,4,8,5
Cymbalaria muralis ssp. muralis,Cymbalaria muralis subsp. muralis,subspecies,6,7,4,8,5,0,6,7,4,8,5
Cynodon dactylon,Cynodon dactylon,species,8,7,3,6,5,2,8,7,3,x,5
Cynoglossum montanum,Cynoglossum montanum,species,7,7,3,4,3,0,7,7,3,4,3
Cynoglossum officinale,Cynoglossum officinale,species,8,6,4,7,6,0,8,6,4,7,6
Cynosurus cristatus,Cynosurus cristatus,species,8,5,5,6,5,0,8,5,5,x,5
Cyperus flavescens,Cyperus flavescens,species,9,6,8,6,5,1,9,6,8,x,5
Cyperus fuscus,Cyperus fuscus,species,9,6,9,6,6,1,9,6,9,x,6
Cyperus michelianus,Cyperus michelianus,species,9,7,8,7,6,1,9,7,8,7,6
Cypripedium calceolus,Cypripedium calceolus,species,5,6,5,8,4,0,5,6,5,8,4
Cystopteris dickieana,Cystopteris dickieana,species,5,2,7,8,2,0,5,2,7,8,2
Cystopteris fragilis,Cystopteris fragilis,species,5,5,6,6,5,0,x,5,6,6,5
Cystopteris sudetica,Cystopteris sudetica,species,5,4,5,7,4,0,5,4,5,7,4
Cytisus nigricans,Cytisus nigricans,species,6,6,4,6,3,0,6,6,4,6,3
Cytisus nigricans ssp. nigricans,Cytisus nigricans subsp. nigricans,subspecies,6,6,4,6,3,0,6,6,4,6,3
Cytisus procumbens,Cytisus procumbens,species,8,8,3,8,3,0,8,8,3,8,3
Cytisus scoparius,Cytisus scoparius,species,7,5,4,3,4,0,7,5,4,3,4
Cytisus scoparius ssp. scoparius,Cytisus scoparius subsp. scoparius,subspecies,7,5,4,3,4,0,7,5,4,3,4
Dactylis glomerata,Dactylis glomerata,species,7,5,5,6,6,1,7,x,5,x,6
Dactylis glomerata agg.,Dactylis glomerata agg.,aggregate,6,5,5,6,6,1,6,x,5,x,6
Dactylis glomerata ssp. glomerata,Dactylis glomerata subsp. glomerata,subspecies,7,5,5,6,6,1,7,x,5,x,6
Dactylis glomerata ssp. slovenica,Dactylis glomerata subsp. slovenica,subspecies,7,5,5,6,6,0,7,x,5,x,6
Dactylis polygama,Dactylis polygama,species,5,6,5,6,5,0,5,6,5,x,5
Dactylorhiza bohemica,Dactylorhiza bohemica,species,8,4,8,7,2,0,8,4,8,7,2
Dactylorhiza fuchsii,Dactylorhiza fuchsii,species,6,4,6,5,3,0,6,4,6,5,3
Dactylorhiza fuchsii ssp. fuchsii,Dactylorhiza fuchsii subsp. fuchsii,subspecies,6,4,6,5,3,0,6,4,6,5,3
Dactylorhiza fuchsii ssp. sooana,Dactylorhiza fuchsii subsp. sooana,subspecies,6,4,6,5,3,0,6,4,6,5,3
Dactylorhiza fuchsii var. fuchsii,Dactylorhiza fuchsii var. fuchsii,variant,6,4,6,5,3,0,6,4,6,5,3
Dactylorhiza fuchsii var. psychrophila,Dactylorhiza fuchsii var. psychrophila,variant,6,3,7,5,3,0,6,3,7,5,3
Dactylorhiza incarnata,Dactylorhiza incarnata,species,8,5,8,7,3,1,8,5,8,7,3
Dactylorhiza incarnata ssp. incarnata,Dactylorhiza incarnata subsp. incarnata,subspecies,8,5,8,7,3,1,8,5,8,7,3
Dactylorhiza incarnata ssp. serotina,Dactylorhiza incarnata subsp. serotina,subspecies,8,5,8,7,3,0,8,5,8,7,3
Dactylorhiza maculata,Dactylorhiza maculata,species,7,4,8,5,3,0,7,4,8,x,3
Dactylorhiza maculata agg.,Dactylorhiza maculata agg.,aggregate,6,4,7,5,3,0,6,4,7,x,3
Dactylorhiza maculata ssp. maculata,Dactylorhiza maculata subsp. maculata,subspecies,7,4,8,5,3,0,7,4,8,x,3
Dactylorhiza maculata ssp. transsilvanica,Dactylorhiza maculata subsp. transsilvanica,subspecies,7,4,8,5,3,0,7,4,8,x,3
Dactylorhiza majalis,Dactylorhiza majalis,species,7,5,8,6,3,1,7,5,8,6,3
Dactylorhiza majalis ssp. majalis,Dactylorhiza majalis subsp. majalis,subspecies,7,5,8,6,3,1,7,5,8,6,3
Dactylorhiza majalis ssp. turfosa,Dactylorhiza majalis subsp. turfosa,subspecies,7,5,8,4,3,0,7,5,8,4,3
Dactylorhiza sambucina,Dactylorhiza sambucina,species,6,5,4,5,3,0,6,5,4,5,3
Dactylorhiza traunsteineri,Dactylorhiza traunsteineri,species,7,4,9,4,2,0,7,4,9,4,2
Danthonia alpina,Danthonia alpina,species,8,6,3,7,3,0,8,6,3,x,3
Danthonia decumbens,Danthonia decumbens,species,8,5,5,3,2,0,8,x,x,3,2
Daphne cneorum,Daphne cneorum,species,6,6,4,7,2,0,6,6,4,7,2
Daphne mezereum,Daphne mezereum,species,4,5,5,7,6,0,4,5,5,7,6
Datura stramonium,Datura stramonium,species,8,7,4,7,8,1,8,7,4,7,8
Datura stramonium var. stramonium,Datura stramonium var. stramonium,variant,8,7,4,7,8,1,8,7,4,7,8
Datura stramonium var. tatula,Datura stramonium var. tatula,variant,8,7,4,7,8,1,8,7,4,7,8
Daucus carota,Daucus carota,species,8,5,4,6,5,1,8,5,4,x,5
Daucus carota ssp. carota,Daucus carota subsp. carota,subspecies,8,5,4,6,5,1,8,5,4,x,5
Daucus carota ssp. sativus,Daucus carota subsp. sativus,subspecies,8,5,4,6,5,0,8,5,4,x,5
Delphinium elatum,Delphinium elatum,species,6,3,7,7,7,0,6,3,7,7,7
Dentaria bulbifera,Dentaria bulbifera,species,3,5,5,6,6,0,3,5,5,6,6
Dentaria enneaphyllos,Dentaria enneaphyllos,species,4,4,6,7,7,0,4,4,6,7,7
Dentaria glandulosa,Dentaria glandulosa,species,4,4,6,6,7,0,4,4,6,6,7
Descurainia sophia,Descurainia sophia,species,8,6,4,7,6,1,8,6,4,x,6
Deschampsia cespitosa,Deschampsia cespitosa,species,6,5,7,5,5,1,6,x,7,x,5
Deschampsia cespitosa ssp. cespitosa,Deschampsia cespitosa subsp. cespitosa,subspecies,6,5,7,5,5,1,6,x,7,x,5
Deschampsia cespitosa ssp. parviflora,Deschampsia cespitosa subsp. parviflora,subspecies,6,5,7,5,5,1,6,x,7,x,5
Dianthus arenarius,Dianthus arenarius,species,9,6,2,4,2,0,9,6,2,4,2
Dianthus arenarius ssp. bohemicus,Dianthus arenarius subsp. bohemicus,subspecies,9,6,2,4,2,0,9,6,2,4,2
Dianthus armeria,Dianthus armeria,species,7,6,4,5,3,0,7,6,4,x,3
Dianthus barbatus,Dianthus barbatus,species,7,4,5,6,5,0,7,4,5,6,5
Dianthus barbatus ssp. barbatus,Dianthus barbatus subsp. barbatus,subspecies,7,4,5,6,5,0,7,4,5,6,5
Dianthus carthusianorum,Dianthus carthusianorum,species,8,5,3,7,3,0,8,5,3,7,3
Dianthus carthusianorum agg.,Dianthus carthusianorum agg.,aggregate,8,6,3,7,3,0,8,6,3,7,3
Dianthus carthusianorum ssp. capillifrons,Dianthus carthusianorum subsp. capillifrons,subspecies,8,5,3,7,3,0,8,5,3,7,3
Dianthus carthusianorum ssp. carthusianorum,Dianthus carthusianorum subsp. carthusianorum,subspecies,8,6,3,7,3,0,8,6,3,7,3
Dianthus carthusianorum ssp. latifolius,Dianthus carthusianorum subsp. latifolius,subspecies,8,5,4,7,3,0,8,5,4,7,3
Dianthus carthusianorum ssp. sudeticus,Dianthus carthusianorum subsp. sudeticus,subspecies,8,4,4,6,3,0,8,4,4,6,3
Dianthus deltoides,Dianthus deltoides,species,8,5,4,4,3,0,8,5,4,4,3
Dianthus gratianopolitanus,Dianthus gratianopolitanus,species,9,7,2,6,2,0,9,7,2,6,2
Dianthus lumnitzeri,Dianthus lumnitzeri,species,9,7,2,9,2,0,9,7,2,9,2
Dianthus moravicus,Dianthus moravicus,species,9,7,2,8,2,0,9,7,2,8,2
Dianthus pontederae,Dianthus pontederae,species,8,7,2,7,2,0,8,7,2,7,2
Dianthus superbus,Dianthus superbus,species,6,5,7,7,3,0,6,5,7,7,3
Dianthus superbus ssp. alpestris,Dianthus superbus subsp. alpestris,subspecies,7,4,7,7,3,0,7,4,7,7,3
Dianthus superbus ssp. superbus,Dianthus superbus subsp. superbus,subspecies,6,6,7,7,3,0,6,6,7,7,3
Dianthus superbus ssp. sylvestris,Dianthus superbus subsp. sylvestris,subspecies,6,6,7,7,3,0,6,6,7,7,3
Dianthus sylvaticus,Dianthus sylvaticus,species,7,5,5,3,3,0,7,5,5,3,3
Dictamnus albus,Dictamnus albus,species,7,8,3,8,3,0,7,8,3,8,3
Digitalis grandiflora,Digitalis grandiflora,species,6,5,5,6,5,0,6,5,5,6,5
Digitalis purpurea,Digitalis purpurea,species,6,5,5,3,6,0,6,5,5,3,6
Digitaria ischaemum,Digitaria ischaemum,species,8,6,4,4,5,1,8,6,4,4,5
Digitaria sanguinalis,Digitaria sanguinalis,species,8,7,3,6,5,1,8,7,3,6,5
Digitaria sanguinalis var. pectiniformis,Digitaria sanguinalis var. pectiniformis,variant,8,7,3,6,5,1,8,7,3,6,5
Digitaria sanguinalis var. sanguinalis,Digitaria sanguinalis var. sanguinalis,variant,8,7,3,6,5,1,8,7,3,6,5
Diphasiastrum alpinum,Diphasiastrum alpinum,species,8,3,5,2,2,0,8,3,5,2,2
Diphasiastrum complanatum,Diphasiastrum complanatum,species,5,4,5,2,2,0,5,4,5,2,2
Diphasiastrum complanatum agg.,Diphasiastrum complanatum agg.,aggregate,5,4,5,2,2,0,5,4,5,2,2
Diphasiastrum tristachyum,Diphasiastrum tristachyum,species,5,4,4,2,2,0,5,4,4,2,2
Diplotaxis muralis,Diplotaxis muralis,species,8,8,4,8,6,1,8,8,4,8,6
Diplotaxis tenuifolia,Diplotaxis tenuifolia,species,8,7,3,7,6,1,8,7,3,x,6
Dipsacus fullonum,Dipsacus fullonum,species,8,6,6,7,7,1,8,6,6,7,7
Dipsacus laciniatus,Dipsacus laciniatus,species,8,7,6,7,6,1,8,7,6,7,6
Dipsacus pilosus,Dipsacus pilosus,species,6,6,6,7,7,0,6,6,6,7,7
Dipsacus sativus,Dipsacus sativus,species,8,6,5,7,7,0,8,6,5,7,7
Dipsacus strigosus,Dipsacus strigosus,species,7,6,6,7,7,0,7,6,6,7,7
Doronicum austriacum,Doronicum austriacum,species,5,3,6,6,7,0,5,3,6,6,7
Doronicum pardalianches,Doronicum pardalianches,species,4,6,5,7,6,0,4,6,5,7,6
Dorycnium germanicum,Dorycnium germanicum,species,7,7,2,8,3,0,7,7,2,8,3
Dorycnium herbaceum,Dorycnium herbaceum,species,7,6,3,8,3,0,7,6,3,8,3
Dorycnium pentaphyllum agg.,Dorycnium pentaphyllum agg.,aggregate,7,6,3,8,3,0,7,6,3,8,3
Draba muralis,Draba muralis,species,7,6,4,8,4,0,7,6,4,8,4
Draba nemorosa,Draba nemorosa,species,9,7,4,7,3,0,9,7,4,7,3
Dracocephalum austriacum,Dracocephalum austriacum,species,9,7,2,9,2,0,9,7,2,9,2
Drosera anglica,Drosera anglica,species,8,4,9,3,2,0,8,4,9,3,2
Drosera intermedia,Drosera intermedia,species,8,5,9,2,2,0,8,5,9,2,2
Drosera rotundifolia,Drosera rotundifolia,species,8,4,9,1,1,0,8,4,9,1,1
Drymocallis rupestris,Drymocallis rupestris,species,6,5,4,6,3,0,6,5,4,6,3
Dryopteris affinis s. lat.,Dryopteris affinis s. lat.,s. lat.,3,4,6,4,5,0,3,4,6,4,5
Dryopteris borreri,Dryopteris borreri,species,3,4,6,4,5,0,3,4,6,4,5
Dryopteris cambrensis,Dryopteris cambrensis,species,3,4,6,4,5,0,3,4,6,4,5
Dryopteris carthusiana,Dryopteris carthusiana,species,5,5,6,4,5,0,5,x,x,4,5
Dryopteris carthusiana agg.,Dryopteris carthusiana agg.,aggregate,4,4,6,4,6,0,4,x,x,x,6
Dryopteris cristata,Dryopteris cristata,species,5,5,9,4,4,0,5,5,9,4,4
Dryopteris dilatata,Dryopteris dilatata,species,4,4,6,4,6,0,4,4,6,x,6
Dryopteris expansa,Dryopteris expansa,species,4,4,6,4,5,0,4,4,6,4,5
Dryopteris filix-mas,Dryopteris filix-mas,species,3,5,5,5,6,0,3,5,5,5,6
Dryopteris filix-mas agg.,Dryopteris filix-mas agg.,aggregate,3,5,5,5,6,0,3,5,5,5,6
Dryopteris remota,Dryopteris remota,species,3,4,6,6,5,0,3,4,6,6,5
Duchesnea indica,Duchesnea indica,species,6,6,5,7,6,0,6,6,5,7,6
Dysphania botrys,Dysphania botrys,species,9,8,3,7,6,1,9,8,3,7,6
Dysphania pumilio,Dysphania pumilio,species,9,8,3,7,6,1,9,8,3,7,6
Ecballium elaterium,Ecballium elaterium,species,8,9,4,8,7,1,8,9,4,8,7
Echinocystis lobata,Echinocystis lobata,species,6,8,8,7,8,0,6,8,8,7,8
Echinochloa crus-galli,Echinochloa crus-galli,species,7,7,5,7,8,1,7,7,5,x,8
Echinops ritro,Echinops ritro,species,9,7,3,8,3,0,9,7,3,8,3
Echinops ritro ssp. ruthenicus,Echinops ritro subsp. ruthenicus,subspecies,9,7,3,8,3,0,9,7,3,8,3
Echinops sphaerocephalus,Echinops sphaerocephalus,species,8,7,4,7,7,1,8,7,4,7,7
Echinops sphaerocephalus ssp. sphaerocephalus,Echinops sphaerocephalus subsp. sphaerocephalus,subspecies,8,7,4,7,7,1,8,7,4,7,7
Echium maculatum,Echium maculatum,species,8,8,3,8,3,0,8,8,3,8,3
Echium plantagineum,Echium plantagineum,species,9,9,2,7,6,0,9,9,2,7,6
Echium vulgare,Echium vulgare,species,9,5,4,6,4,0,9,5,4,6,4
Echium vulgare ssp. vulgare,Echium vulgare subsp. vulgare,subspecies,8,6,4,6,4,0,8,6,4,6,4
Elaeagnus angustifolia,Elaeagnus angustifolia,species,8,6,5,7,5,1,8,6,5,7,5
Elatine alsinastrum,Elatine alsinastrum,species,8,7,9,5,6,1,8,7,9,5,6
Elatine hexandra,Elatine hexandra,species,8,6,9,4,4,0,8,6,9,4,4
Elatine hydropiper,Elatine hydropiper,species,8,6,9,4,5,1,8,6,9,4,5
Elatine hydropiper agg.,Elatine hydropiper agg.,aggregate,8,6,9,4,5,1,8,6,9,4,5
Elatine hydropiper s. lat.,Elatine hydropiper s. lat.,species,8,6,9,4,5,1,8,6,9,4,5
Elatine orthosperma,Elatine orthosperma,species,8,6,9,4,4,1,8,6,9,4,4
Elatine triandra,Elatine triandra,species,8,6,9,5,6,0,8,6,9,5,6
Eleocharis acicularis,Eleocharis acicularis,species,8,5,10,5,4,0,8,5,10,x,4
Eleocharis mamillata,Eleocharis mamillata,species,8,5,10,5,5,1,8,5,10,5,5
Eleocharis mamillata ssp. austriaca,Eleocharis mamillata subsp. austriaca,subspecies,8,5,10,5,5,1,8,5,10,5,5
Eleocharis mamillata ssp. mamillata,Eleocharis mamillata subsp. mamillata,subspecies,8,5,10,5,5,1,8,5,10,5,5
Eleocharis ovata,Eleocharis ovata,species,9,6,9,5,6,1,9,6,9,x,6
Eleocharis palustris,Eleocharis palustris,species,8,6,10,6,6,1,8,6,10,x,x
Eleocharis palustris agg.,Eleocharis palustris agg.,aggregate,8,6,10,6,6,1,8,6,10,x,x
Eleocharis palustris ssp. palustris,Eleocharis palustris subsp. palustris,subspecies,8,6,10,6,6,1,8,6,10,x,x
Eleocharis palustris ssp. waltersii,Eleocharis palustris subsp. waltersii,subspecies,8,6,10,6,6,1,8,6,10,x,x
Eleocharis quinqueflora,Eleocharis quinqueflora,species,8,5,9,7,2,2,8,5,9,7,2
Eleocharis uniglumis,Eleocharis uniglumis,species,8,6,10,7,6,4,8,6,10,7,6
Eleocharis uniglumis ssp. sterneri,Eleocharis uniglumis subsp. sterneri,subspecies,8,6,10,7,6,5,8,6,10,7,6
Eleocharis uniglumis ssp. uniglumis,Eleocharis uniglumis subsp. uniglumis,subspecies,8,6,10,7,6,4,8,6,10,7,6
Elodea canadensis,Elodea canadensis,species,7,6,12,7,7,1,7,6,12,7,7
Elodea nuttallii,Elodea nuttallii,species,7,6,12,7,7,0,7,6,12,x,7
Elymus caninus,Elymus caninus,species,5,5,6,7,7,0,5,5,6,7,7
Elymus hispidus,Elymus hispidus,species,7,7,3,7,4,0,7,7,3,7,4
Elymus hispidus var. hispidus,Elymus hispidus var. hispidus,variant,7,7,3,7,4,0,7,7,3,7,4
Elymus hispidus var. villosus,Elymus hispidus var. villosus,variant,7,7,3,7,4,0,7,7,3,7,4
Elymus repens,Elymus repens,species,7,5,5,6,7,1,7,x,x,x,7
Elymus repens ssp. repens,Elymus repens subsp. repens,subspecies,7,5,5,6,7,1,7,x,x,x,7
Empetrum hermaphroditum,Empetrum hermaphroditum,species,8,3,6,2,2,0,8,3,6,x,2
Empetrum nigrum,Empetrum nigrum,species,7,4,6,2,2,0,7,4,6,x,2
Empetrum nigrum agg.,Empetrum nigrum agg.,aggregate,7,3,6,2,2,0,7,3,6,x,2
Epilobium adenocaulon,Epilobium adenocaulon,species,7,5,6,5,7,1,7,5,6,5,7
Epilobium alpestre,Epilobium alpestre,species,7,3,6,6,7,0,7,3,6,6,7
Epilobium alsinifolium,Epilobium alsinifolium,species,8,2,9,5,4,0,8,2,9,5,4
Epilobium anagallidifolium,Epilobium anagallidifolium,species,8,2,7,4,4,0,8,2,7,4,4
Epilobium angustifolium,Epilobium angustifolium,species,8,4,5,5,6,0,8,4,5,5,6
Epilobium collinum,Epilobium collinum,species,8,5,5,4,5,1,8,5,5,4,5
Epilobium dodonaei,Epilobium dodonaei,species,9,6,4,7,4,0,9,6,4,7,4
Epilobium hirsutum,Epilobium hirsutum,species,7,5,8,7,8,1,7,5,8,7,8
Epilobium lamyi,Epilobium lamyi,species,7,6,5,5,4,0,7,6,5,5,4
Epilobium lanceolatum,Epilobium lanceolatum,species,8,7,4,3,3,0,8,7,4,3,3
Epilobium montanum,Epilobium montanum,species,5,5,5,6,6,0,5,x,5,6,6
Epilobium nutans,Epilobium nutans,species,9,3,9,4,4,0,9,3,9,4,4
Epilobium obscurum,Epilobium obscurum,species,7,5,8,4,5,1,7,5,8,4,5
Epilobium palustre,Epilobium palustre,species,7,4,9,3,3,1,7,4,9,3,3
