releve_nr,species,layer,cover_perc
18,Quercus petraea agg.,7,8
28,Calamagrostis arundinacea,6,4
28,Campanula persicifolia,6,3
28,Carex digitata,6,3
28,Carex montana,6,3
28,Clinopodium vulgare,6,2
28,Festuca ovina,6,2
28,Melampyrum pratense,6,2
28,Melica uniflora,6,3
28,Poa pratensis agg.,6,2
28,Poa nemoralis,6,38
28,Quercus petraea agg.,1,63
28,Quercus petraea agg.,7,3
28,Veronica officinalis,6,3
29,Carex pilulifera,6,1
29,Carpinus betulus,1,8
29,Carpinus betulus,7,2
29,Festuca ovina,6,2
29,Melica uniflora,6,4
29,Poa nemoralis,6,18
29,Quercus petraea agg.,1,63
29,Quercus petraea agg.,7,4
29,Veronica officinalis,6,1
31,Avenella flexuosa,6,8
31,Carpinus betulus,4,8
31,Festuca ovina,6,4
31,Loranthus europaeus,1,1
31,Melampyrum pratense,6,3
31,Picea abies,7,1
31,Poa nemoralis,6,2
31,Quercus petraea agg.,1,63
31,Quercus petraea agg.,7,3
31,Tilia cordata,1,8
31,Tilia cordata,4,4
32,Acer pseudoplatanus,7,3
32,Agrostis capillaris,6,2
32,Ajuga reptans,6,1
32,Calamagrostis epigejos,6,2
32,Campanula persicifolia,6,2
32,Carex digitata,6,4
32,Carex pallescens,6,2
32,Carex pilulifera,6,2
32,Carpinus betulus,1,4
32,Carpinus betulus,7,4
32,Deschampsia cespitosa,6,2
32,Dryopteris dilatata,6,2
32,Euphorbia cyparissias,6,3
32,Festuca ovina,6,3
32,Fraxinus excelsior,7,2
32,Galeobdolon luteum agg.,6,3
32,Hieracium murorum,6,1
32,Hieracium sabaudum s.lat.,6,2
32,Hypericum perforatum,6,2
32,Knautia drymeia,6,2
32,Luzula luzuloides,6,3
32,Luzula pilosa,6,2
32,Maianthemum bifolium,6,3
32,Melampyrum pratense,6,4
32,Melica nutans,6,8
32,Pinus sylvestris,1,8
32,Poa nemoralis,6,18
32,Quercus petraea agg.,1,18
32,Quercus petraea agg.,7,3
32,Quercus robur,1,38
32,Quercus robur,7,4
32,Rubus fruticosus agg.,6,1
32,Senecio nemorensis agg.,6,2
32,Sorbus aucuparia,7,1
32,Tilia cordata,7,3
32,Veronica chamaedrys agg.,6,1
32,Viola reichenbachiana,6,2
36,Calamagrostis arundinacea,6,2
36,Carex digitata,6,3
36,Carpinus betulus,1,8
36,Carpinus betulus,7,2
36,Fraxinus excelsior,7,1
36,Galium rotundifolium,6,1
36,Luzula luzuloides,6,3
36,Maianthemum bifolium,6,1
36,Melica nutans,6,2
36,Milium effusum,6,2
36,Quercus petraea agg.,1,63
36,Quercus petraea agg.,7,4
36,Stellaria holostea,6,2
36,Tilia cordata,7,1
41,Calamagrostis arundinacea,6,1
41,Carpinus betulus,7,2
41,Galium odoratum,6,4
41,Hieracium murorum,6,2
41,Hypericum perforatum,6,1
41,Lathyrus vernus,6,2
41,Loranthus europaeus,1,2
41,Luzula luzuloides,6,2
41,Melampyrum pratense,6,3
41,Poa nemoralis,6,18
41,Quercus petraea agg.,1,63
41,Quercus petraea agg.,7,38
41,Stellaria holostea,6,4
41,Tilia cordata,4,3
41,Tilia cordata,7,2
41,Veronica chamaedrys agg.,6,2
42,Acer campestre,7,2
42,Campanula persicifolia,6,2
42,Carpinus betulus,1,8
42,Carpinus betulus,4,3
42,Carpinus betulus,7,2
42,Digitalis grandiflora,6,3
42,Fagus sylvatica,7,2
42,Festuca ovina,6,3
42,Fraxinus excelsior,7,2
42,Genista tinctoria,6,2
42,Hieracium lachenalii,6,3
42,Hieracium murorum,6,4
42,Loranthus europaeus,1,2
42,Luzula luzuloides,6,8
42,Melampyrum pratense,6,2
42,Picea abies,7,1
42,Pinus sylvestris,1,4
42,Poa nemoralis,6,2
42,Quercus petraea agg.,1,38
42,Quercus petraea agg.,7,4
42,Silene nutans,6,1
43,Acer platanoides,7,1
43,Ajuga reptans,6,3
43,Asarum europaeum,6,4
43,Carex digitata,6,3
43,Carex pilosa,6,18
43,Carpinus betulus,1,8
43,Carpinus betulus,4,4
43,Carpinus betulus,7,3
43,Convallaria majalis,6,4
43,Dactylis polygama,6,2
43,Euphorbia amygdaloides,6,1
43,Galium odoratum,6,4
43,Galium sylvaticum,6,1
43,Hieracium murorum,6,2
43,Lathyrus niger,6,3
43,Lathyrus vernus,6,2
43,Luzula luzuloides,6,3
43,Melica uniflora,6,8
43,Orobanche,6,1
43,Poa nemoralis,6,2
43,Polygonatum odoratum,6,2
43,Pulmonaria officinalis agg.,6,1
43,Quercus petraea agg.,1,63
43,Quercus petraea agg.,7,18
43,Rosa,7,1
43,Stellaria holostea,6,4
43,Tilia cordata,1,4
43,Tilia cordata,4,4
43,Tilia platyphyllos,4,4
44,Allium senescens subsp. montanum,6,1
44,Anthericum ramosum,6,4
44,Calluna vulgaris,6,2
44,Carex montana,6,2
44,Cytisus nigricans,6,2
44,Digitalis grandiflora,6,2
44,Festuca ovina,6,38
44,Galium pumilum agg.,6,1
44,Genista germanica,6,2
44,Genista tinctoria,6,2
44,Hieracium lachenalii,6,2
44,Hieracium maculatum,6,3
44,Hieracium murorum,6,3
44,Hieracium sabaudum s.lat.,6,2
44,Luzula campestris agg.,6,2
44,Viscaria vulgaris,6,4
44,Melampyrum pratense,6,2
44,Poa nemoralis,6,2
44,Polygonatum odoratum,6,3
44,Quercus petraea agg.,1,63
44,Quercus petraea agg.,7,4
44,Rubus fruticosus agg.,6,1
44,Silene nutans,6,3
44,Veronica officinalis,6,2
44,Vincetoxicum hirundinaria,6,3
47,Acer platanoides,7,1
47,Carex digitata,6,4
47,Euonymus verrucosus,7,1
47,Festuca ovina,6,3
47,Frangula alnus,7,2
47,Fraxinus excelsior,7,2
47,Genista germanica,6,1
47,Genista tinctoria,6,1
47,Hieracium lachenalii,6,2
47,Hieracium murorum,6,3
47,Hieracium sabaudum s.lat.,6,2
47,Lathyrus niger,6,3
47,Loranthus europaeus,1,2
47,Poa nemoralis,6,8
47,Prunus avium,7,1
47,Quercus petraea agg.,1,88
47,Quercus petraea agg.,7,8
47,Rosa,7,1
81,Achillea millefolium agg.,6,2
81,Ajuga genevensis,6,3
81,Allium flavum,6,3
81,Arabidopsis thaliana,6,2
81,Asplenium septentrionale,6,2
81,Carex humilis,6,4
81,Carex praecox,6,2
81,Carpinus betulus,7,1
81,Euphorbia cyparissias,6,2
81,Festuca ovina,6,18
81,Galeopsis,6,1
81,Galium aparine,6,1
81,Galium pumilum agg.,6,2
81,Genista pilosa,6,2
81,Genista tinctoria,6,1
81,Hieracium murorum,6,2
81,Pilosella officinarum,6,3
81,Hypericum perforatum,6,2
81,Koeleria macrantha,6,2
81,Luzula campestris agg.,6,1
81,Viscaria vulgaris,6,4
81,Melica nutans,6,2
81,Myosotis ramosissima,6,2
81,Myosotis sylvatica,6,3
81,Poa nemoralis,6,3
81,Polypodium vulgare agg.,6,1
81,Quercus petraea agg.,1,38
81,Quercus petraea agg.,7,3
81,Rosa,7,1
81,Scleranthus perennis,6,3
81,Hylotelephium telephium agg.,6,1
81,Sedum rupestre agg.,6,1
81,Senecio viscosus,6,3
81,Thymus pulegioides,6,3
81,Trifolium arvense,6,3
81,Verbascum chaixii subsp. austriacum,6,3
81,Veronica dillenii,6,2
81,Veronica officinalis,6,1
82,Acer pseudoplatanus,7,1
82,Achillea millefolium agg.,6,1
82,Alliaria petiolata,6,1
82,Anthericum ramosum,6,3
82,Campanula persicifolia,6,2
82,Cardamine impatiens,6,1
82,Carex humilis,6,4
82,Carpinus betulus,7,2
82,Clinopodium vulgare,6,1
82,Dactylis polygama,6,4
82,Epilobium,6,1
82,Euphorbia cyparissias,6,2
82,Fallopia convolvulus,6,1
82,Festuca ovina,6,4
82,Fraxinus excelsior,7,1
82,Galium aparine,6,1
82,Galium mollugo agg.,6,1
82,Genista tinctoria,6,1
82,Hieracium murorum,6,3
82,Hieracium sabaudum s.lat.,6,3
82,Hieracium schmidtii,6,3
82,Lapsana communis,6,1
82,Ligustrum vulgare,4,3
82,Ligustrum vulgare,7,3
82,Luzula campestris agg.,6,1
82,Myosotis sylvatica,6,2
82,Poa nemoralis,6,4
82,Polygonatum multiflorum,6,1
82,Prunus avium,7,1
82,Quercus petraea agg.,1,63
82,Quercus petraea agg.,7,4
82,Rosa,7,1
82,Hylotelephium telephium agg.,6,2
82,Silene nutans,6,4
82,Sorbus torminalis,1,3
82,Sorbus torminalis,7,1
82,Stellaria holostea,6,3
82,Tanacetum corymbosum,6,3
82,Trifolium alpestre,6,2
82,Verbascum chaixii subsp. austriacum,6,2
82,Veronica chamaedrys agg.,6,2
82,Vincetoxicum hirundinaria,6,3
83,Acer platanoides,7,2
83,Acer pseudoplatanus,7,3
83,Calamagrostis arundinacea,6,3
83,Carpinus betulus,1,18
83,Carpinus betulus,7,2
83,Convallaria majalis,6,8
83,Cyclamen purpurascens,6,2
83,Fagus sylvatica,7,2
83,Hieracium sabaudum s.lat.,6,1
83,Impatiens parviflora,6,1
83,Luzula luzuloides,6,38
83,Poa nemoralis,6,2
83,Quercus petraea agg.,1,63
83,Quercus petraea agg.,7,3
83,Sorbus torminalis,7,1
83,Stellaria holostea,6,4
83,Vaccinium myrtillus,6,3
86,Acer campestre,7,1
86,Acer platanoides,7,1
86,Ajuga genevensis,6,2
86,Alliaria petiolata,6,1
86,Asarum europaeum,6,2
86,Brachypodium sylvaticum,6,3
86,Calamagrostis arundinacea,6,3
86,Calamagrostis epigejos,6,1
86,Carex muricata agg.,6,3
86,Carex pallescens,6,3
86,Carpinus betulus,7,2
86,Chaerophyllum temulum,6,1
