"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
100049,"Brabec J. et Honsa P.",2004,"Řeřišničník skalní (Cardaminopsis petraea) - znovunalezený druh CHKO Křivoklátsko.","Zpr. Čes. Bot. Společ., Praha, 39: 387-392."
100050,"Višňák R.",2004,"Sesleria uliginosa - nový druh pro západní Čechy.","Zpr. Čes. Bot. Společ., Praha, 39: 397-404."
100051,"Filippovová J. et Filippov P.",2004,"Nová rostlinná společenstva a druhy na soutoku Moravy a Dyje.","Zpr. Čes. Bot. Společ., Praha, 39: 405-410."
100052,"Hejda M.",2004,"Charakteristika populací a výskytu Impatiens glandulifera na Křivoklátsku.","Zpr. Čes. Bot. Společ., Praha, 39: 429-452."
100053,"Vydrová A., Grulich V., Ekrt L. et Ekrtová E.",2009,"Řídká blana u Zahájí na Českobudějovicku - významná lokalita vodní a mokřadní flóry a vegetace.","Muz. Současnost, Roztoky u Prahy, ser. natur., 24: 27-54."
100054,"Danihelka J. et Lepší M.",2004,"Kopřiva lužní, Urtica kioviensis, na soutoku Moravy a Dyje.","Zpr. Čes. Bot. Společ., Praha, 39: 25-35."
100055,"Hadinec J., Lustyk P. et Procházka F. [red.]",2004,"Additamenta ad floram Reipublicae Bohemicae III.","Zpr. Čes. Bot. Společ., Praha, 39: 63-130."
100056,"Hadinec J. et Lustyk P.  [eds]",2006,"Additamenta ad floram Reipublicae Bohemicae V.","Zpr. Čes. Bot. Společ., Praha, 41: 173-257."
100057,"Jaroš V.",2006,"Vegetační a floristické poměry v okolí Slatinského a Hostavického potoka ve východní části Prahy.","Zpr. Čes. Bot. Společ., Praha, 41: 259-273."
100058,"Vojta J.",2003,"Nejzápadnější česká lokalita Carex pilosa je v Doupovských horách.","Zpr. Čes. Bot. Společ., Praha, 38: 63-67."
100059,"Lepší M.",2003,"Další výskyt invazního starčku Senecio inaequidens v České republice.","Zpr. Čes. Bot. Společ., Praha, 38: 77-78."
100060,"Jehlík V., Ducháček M. et Hradil K.",2006,"Šíření jihoafrického starčku Senecio inaequidens v České republice pokračuje.","Zpr. Čes. Bot. Společ., Praha, 38: 79-83."
100061,"Koutecký D.",2003,"Změny vegetace aluviálních luk po povodních (jižní Morava).","Zpr. Čes. Bot. Společ., Praha, 38: 111-115."
