"REFERENCE","REFERENCE_AUTHOR","REFERENCE_YEAR","REFERENCE_TITLE","REFERENCE_JOURNAL"
401682,"Moravec J.",1970,"Návrh na ochranu starého buko-lipového porostu u obce Vráž u Písku.","Ms. [Dis. pr., depon. in: knih. Úst. bot. a zool. PřF MU, Brno.]"
401683,"Bureš L. et Burešová Z.",1990,"Malá kotlina: mapa aktuální vegetace.","Ms. [Depon. in: ČSOP Ekoservis Jeseníky, Světlá Hora.]"
401684,"Bureš L. et Burešová Z.",1990,"Monitorování změn a zásahů v SPR Malá kotlina.","Ms. [Depon. in: ČSOP Ekoservis Jeseníky, Světlá Hora.]"
401685,"Bureš L. et Burešová Z.",1991,"SPR Malá Kotlina: monitoring a experimenty.","Ms. [Inventariz. průzk., depon in: Správa CHKO Jeseníky.]"
401686,"Bureš L.",1977,"Snímkový materiál vegetace v SPR Velký kotel (plochy, určené k likvidaci kleče).","Ms. [Inventariz. průzk., depon in: Správa CHKO Jeseníky.]"
401687,"Kavalcová V.",1982,"Státní přírodní rezervace Petrovy kameny. Inventarizační průzkum botanický (Tracheophyta, Pteridophyta) dle metodiky SÚPPOP 1973.","Ms. [Inventariz. průzk., depon in: KSSPPOP Ostrava.]"
401688,"Kavalcová V.",1985,"Státní přírodní rezervace Vrchol Pradědu.","Ms. [Depon. in: KSSPPOP, Ostrava.]"
401689,"Bureš L. et Burešová Z.",1991,"SPR Velká kotlina: monitoring a experimenty.","Ms. [Inventariz. průzk., depon in: Správa CHKO Jeseníky.]"
401690,"Bureš L. et Burešová Z.",1991,"SPR Praděd: geobotanické zhodnocení.","Ms. [Inventariz. průzk., depon in: Správa CHKO Jeseníky.]"
401691,"Bureš L. et Burešová Z.",1990,"Monitoring populací vzácných a ohrožených druhů rostlin v SPR Velká Kotlina.","Ms. [Depon in: ČSOP Ekoservis Jeseníky, Světlá Hora.]"
401692,"Danihelka J.",2001,"Flóra a vegetace zámeckého parku ve Valticích.","In: Kordiovský E. [red.], Město Valtice, p. 114-126, ed. Moraviapress, Břeclav."
401693,"Grüll F.",1966,"Nové lokality Iva xanthiifolia Nutt. na Moravě.","Preslia, Praha, 38: 418-419."
401694,"Nesvadbová J., Sofron J et Vondráček M.",1996,"Vegetace vrchoviště Javoří vrch (Šumavské pláně).","Erica, Plzeň, 5: 109-117."
401695,"Novák J.",2000,"Zajímavá plevelová společenstva západní části Holého vrchu u Vrbky (okr. Litoměřice).","Severočes. Přír., Litoměřice, 32: 96-98."
401696,"Novák J.",2000,"Gagea bohemica (Zauschn.) J. A. et J. H. Schultes a Polycnemum majus A. Braun - staronové druhy Českého středohoří.","Severočes. Přír., Litoměřice, 32: 98-101."
401698,"Duchoslav M. et Gruna B.",1995,"Melicetum ciliatae Kaiser 1926 ve Strážovských vrších.","Zpr. Čes. Bot. Společ., Praha, 30: 51-53."
401699,"Zlámalík J.",2001,"Dva zajímavé lesní porosty v údolí řeky Jihlavy u Jihlavy - Kosova.","Vlastiv. Sborn. Vysočiny, Jihlava, sect. natur., 15: 119-134."
401700,"Špaček J.",1954,"Studie o teplobytné mykofloře moravské (II).","Pr. Morav.-Slez. Acad. Věd Přír., Brno, 26: 1-32."
401701,"Skalický V. et Jeník J.",1974,"Květena a vegetační poměry Českého krasu z hlediska ochrany přírody.","Bohem. Centr., Praha, 3: 101-140."
401702,"Komárek K.",1959,"Drobná pozorování v slatiništi Hájek (Soos).","Čas. Nár. Muz., Praha, sect. natur. 128: 155-162."
401703,"Lhotská-Medlinová M.",1952,"Vegetační poměry Soosu u Františkových lázní.","Ms. [Dipl. pr., depon. in: PřF UK, Praha.]"
401705,"Moravec J.",1996,"Biomonitoring přirozených lesních ekosystémů biosférické rezervace Křivoklátsko - edafické podmínky.","Příroda, Praha, 5: 103-110."
401706,"Prach K., Lepš J. Š. et Rauch O.",1996,"Dlouhodobé sukcesní změny vegetace na opuštěných polích v Českém krasu z hlediska ochrany přírody.","Příroda, Praha, 5: 59-68."
401707,"Balátová-Tuláčková E.",1996,"K ekologii zaplavovaných luk kontinentálně laděných oblastí.","Příroda, Praha, 4: 69-76."
401708,"Hroudová Z., Kloubec B. et Zákravský P.",1999,"Dynamika litorální vegetace a avifauny Opatovického rybníka u Třeboně.","Příroda, Praha, 14: 73-98."
401709,"Chocholoušková Z. et Vaněčková I.",1998,"Flóra a vegetace cévnatých rostlin NPR Soos.","In: Flóra a vegetace minerálních pramenů a rašelinišť NPR Soos, Sborník Kat. Biolog. PedF Západočes."
401710,"Jeník J. et Soukupová L.",1989,"Evropský význam československých rašelinišť.","In: Rašeliniště a jejich racionální využívání, p. 63-72, ed. Dům techniky ČSVTS, České Budějovice."
401711,"Jankovská V.",1989,"Historie československých rašelinišť v pozdním glaciálu a v době poledové.","In: Rašeliniště a jejich racionální využívání, p. 63-72, ed. Dům techniky ČSVTS, České Budějovice."
401712,"Grulich V. et Danihelka J.",1996,"Aluviální louky dolního Podyjí a Pomoraví.","Příroda, Praha, 4: 77-87."
401713,"Vacek S. et Mayová J.",2000,"K problematice vegetační stupňovitosti NP Šumava.","In: Podrázský V. [red.], Monitoring, výzkum a management ekosystému Národního parku Šumava, p. 138-141, ed. Česká zemědělská univerzita, Praha."
401714,"Kosík V.",1959,"Vliv redukce sečí na složení travního porostu trvalých luk.","Věd. Pr. Výzk. Úst. Melior. ČSAZV, Praha, 1959: 219-254."
401716,"Rydlo J.",1996,"Křečkovský bor.","Pr. Muz. Kolín, ser. natur., 2: 3-10."
401718,"Sekera M.",1970,"Květena Bořeně (synekologická studie).","Kraj. pedagogický ústav v Ústí n. Labem, Ústí n. Labem, 59 p."
401719,"Schleger E.",1975,"Historický vývoj pohraničních lesů od Klášterce nad Ohří po Děčín.","Stipa, Ústí n. Labem, 2: 5-37."
401720,"Husová M., Jirásek J. et Moravec J.",2002,"Přehled vegetace České republiky. Svazek 3. Jehličnaté lesy.","Academia, Praha, 128 p."
401721,"Moravec J.",1998,"Přehled vegetace České republiky. Svazek 1. Acidofilní doubravy.","Academia, Praha, 64 p."
401722,"Juřička J.",2000,"Ekobiologická studie ohrožených druhů: Buphtalmum salicifolium L. a Veratrum nigrum L.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401723,"Salabová L.",2000,"Srovnávací studie rostlinných společenstev říčních údolí jihozápadní Moravy.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401724,"Hájek M.",2002,"Vegetace svahových pramenišť magurského flyše.","Ms. [Dis. pr., depon. in: PřF MU, Brno.]"
401727,"Duchoslav M.",1994,"Aboveground biomass and vertical structure of Geranio-Peucedanetum (Kuhn 1937) Th. Muller 1961 association.","Ecology, 13: 15-31."
401728,"Matějková I.",1996,"Eleocharito ovatae-Caricetum bohemicae KLIKA 1935 v Plánickém hřebeni.","Calluna, Plzeň, 1/3: 2-3."
401729,"Matějková I.",1996,"Dvě další lokality Comarum palustre L. a Menyanthes trifoliata L., jejich společenstva a ohrožení.","Calluna, Plzeň, 1/1: 4-6."
401730,"Hustáková K.",2000,"Ekobiologická studie druhů Crocus albiflorus Kit. ex Schult. a Conringia orientalis (L.) Dumort.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401731,"Grulich V.",2002,"O flóře a vegetaci v okolí Velkých Pavlovic.","In: Kordiovský E. [red.], Město Velké Pavlovice. Velké Pavlovice, FPO, Znojmo."
401732,"Vicherek J. et al.",2000,"Flóra a vegetace na soutoku Moravy a Dyje.","Masarykova univerzita v Brně, Brno, 362p."
401733,"Bufková I. et Rydlo J.",2008,"Vodní makrofyta a mokřadní vegetace odstavených říčních ramen horní Vltavy (Hornovltavský luh, NP Šumava).","Silva Gabreta, Vimperk, 14: 93-134."
401735,"Fošumová P., Hakr. P. et Husák Š. (eds.)",1996,"Mokřady České republiky.","Sborn. Abstr. z celostátního semináře k 25. Ramsarské konvence, Třeboň."
401736,"Jirásek J.",1995,"Přehled společenstev třídy Vaccinio-Piceetea a Betulo-Alnetea viridis v České republice. Text a tabulky fytocenologických snímků.","Ms. [Závěr. zpr., depon. in: Bot. úst. AV ČR Průhonice.]"
401737,"Kalhousová K., Skýpalová Z. et Unar J.",1987,"Příspěvek k poznání luk v okolí Vsetína jako potenciálních stanovišť některých vzácnějších druhů rostlin.","Scr. Fac. Sci. Natur. Univ. Purkyn. Brun. - Biol., Brno, 17: 485-504."
401738,"Pyšek P. et Pyšek A.",1987,"Analyse der Unkrautvegetation eines Gerstenfeldes mit Berücksichtigung des Deckungsgrades und der Wuchshöhe des Gerstenbestandes.","Folia Geobot. Phytotax., Praha, 22: 225-239."
401739,"Krahulec F. et Lepš J.",1989,"Fytocenologie a současná věda o vegetaci.","Preslia, Praha, 61: 227-244."
401740,"Kopecký K.",1989,"Rákosiny na pobřeží řek a potoků.","Živa, Praha, 37: 256-258."
401741,"Balátová-Tuláčková E.",2000,"Vergleich der aus Mähren und der Slowakei beschriebenen Subassoziationen des Gentiano pneumonanthis-Molinietum litoralis.","Acta Bot. Croat., Zagreb, 59: 157-165."
401742,"Hlobilová I.",1985,"Antropické vlivy v lučních společenstvech v Bílých Karpatech a rozšíření vstavačovitých.","Ms. [Dipl. pr., depon. in: PřF UP, Olomouc.]"
401743,"Kuželová I.",2002,"Lesní vegetace Hostýnských vrchů.","Čas. Slez. Muz. Opava, ser. A, 51: 129-144."
401744,"Suza J.",1928,"Geobotanický průvodce serpentinovou oblastí u Mohelna na jihozápadní Moravě (ČSR).","Rozpr. II. tř. Čs. Acad., Praha, roč. 37/31: 1-116."
401745,"Danihelka J. et Hanušová M.",1995,"Poznámky k současnému stavu slanomilné flóry a vegetace v okolí Nesytu u Sedlce.","Zpr. Čes. Bot. Společ., Praha, 30, suppl 1: 135-146."
401746,"Nožička J.",1960,"Krnovské lesy do roku 1850.","Přírod. Čas. Slez., Praha, 11: 321-334."
401747,"Nožička J.",1956,"Z minulosti slezských lesů II.","Přírod. Sborn. Ostrav. Kraje, Ostrava, zvl. příloha, 17/2-3: 61-129."
401748,"Sekyra J.",1952,"Tundrové půdy v Československu.","Ochr. Přír., Praha, 7: 83-87."
401749,"Málková J.",1994,"Monitoring antropických vlivů v hřebenové oblasti východních Krkonoš. III. část (dynamika změn v lokalitě Kaple).","Opera Corcont., Vrchlabí, 31: 37-57."
401750,"Vaněčková L.",1972,"K otázce bioindikačních spekter Moravského Krasu.","Stud.  Geogr., Brno, 29: 141-149."
401751,"Krippelová T.",1981,"Návrh na vyššiu klasifikačnů jednotku pre synantropnú vegetáciu.","Zpr. Čs. Bot. Společ., Praha, 16, Mater. 2: 93-95."
401752,"Klika J.",1936,"Über die geobotanische Kartierung der Wälder im xerothermen Gebiete.","Natur u. Heimat, Aussig [Ústí nad Labem], 7: 38-43."
401753,"Prudič Z.",1963,"Lesy Hostýnských vrchů a rozšíření jedle v moravských Karpatech.","Lesn. Čas. [CZ/SK], 9: 111-126."
401755,"Kubíková J.",1981,"The effect of cement factory air pollution on thermophilous rocky grassland.","Vegetatio, Haag, 47: 279-283."
401756,"Kubíková J.",1987,"Cultivated forest stands in Central Bohemia, their floristic composition and history.","Wiss. Beitr., 46: 155-165."
401757,"Horák J.",1981,"Doubravy moravských okrajů krystalinika České vysočiny.","Lesnictví, Praha, 27: 499-524."
401758,"Klika J.",1955,"Lesnická typologie se stanoviska fytocenologického.","Sborn. Čs. Akad. Zeměd. Věd, Praha, Lesn., 27: 169-174."
401759,"Nosek J.",1955,"Biocenologický výzkum lesa.","Sborn. Čs. Akad. Zeměd. Věd, Praha, Lesn., 27:199-210."
401760,"Zlatník A.",1955,"Zdůvodnění komplexního typologického výzkumu a průzkumu lesů a přehled skupin lesních typů ČSR.","Sborn. Čs. Akad. Zeměd. Věd, Praha, Lesn., 27: 119-248."
401761,"Buček A. et Štykar J.",2002,"Geobiocenologické mapování pobřežního pásma vodních toků v povodí Odry.","Zprav. Projektu Beskydy, Brno, 15: 17-24."
401762,"Petřík P.",2002,"Flóra a vegetace obnaženého dna přehrady v Jablonci nad Nisou.","Severočes. Přír., Litoměřice, 33-34: 131-149."
401763,"Novák J.",2002,"Rosa pimpinelifolia L. na vrchu Liščín u Pohořan.","Severočes. Přír., Litoměřice, 33-34: 47-48."
401764,"Ondráček Č.",2002,"Botanický inventarizační průzkum Vápenky u Kovářské.","Severočes. Přír., Litoměřice, 33-34: 23-31."
401765,"Machová I. et Kubát K.",2002,"Změny flóry Novozámeckého rybníka během posledních 50 let.","Severočes. Přír., Litoměřice, 33-34: 17-22."
401766,"Boublík K., Lepší M. et Lepší P.",2002,"Jeřáb český (Sorbus bohemica) v Českém středohoří.","Severočes. Přír., Litoměřice, 33-34: 55-72."
401767,"Podlenová L.",2003,"Změna vegetace acidofilních trávníků v okolí Kamýka nad Vltavou a charakteristika vegetace Solenického meandru.","Ms. [Dipl. pr., Depon. in: PřF JU, České Budějovice]"
401768,"Pospíšil V.",1952,"Badil (Sisyrinchium angustifolium Mill.) na Moravě.","Čs. Bot. Listy, Praha, 5: 35-39."
401769,"Danihelka J.",2000,"Bylinná vegetace zámeckého parku ve Valticích . Inventarizační průzkum s náměty pro připravovaný plán péče.","Ms. [Depon. in: Správa chráněné krajinné oblasti Pálava v Mikulově a Památkový ústav v Brně.]"
401770,"Boublík K.",2001,"Nové nálezy kapradě hřebenité (Dryopteris cristata) v Třeboňské pánvi.","Sborn. Jihočes. Muz. České Budějovice - Přír. vědy, 41: 31-34."
401771,"Heligerová M.",1955,"Luční porosty na Novopacku.","Ms. [Dipl. pr., depon. in: PřF UK, Praha.]"
401772,"Boublík K.",2002,"Přirozená lesní vegetace a mapa potenciální přirozené vegetace Jindřišského údolí u Jindřichova Hradce.","Sborn. Jihočes. Muz. České Budějovice - Přír. vědy, 42: 49-76."
401773,"Bravencová L.",2003,"Vegetace Národní přírodní rezervace Čertoryje.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401774,"Wünschová A.",2003,"Biologie, ekologie a rozšíření Laser trilobum (L.) Borkh., Scrophularia vernalis L. a Iris humilis Georgi subsp. arenaria (Waldst. et. Kit.) Á. et D. Löve na Moravě.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401775,"Řepka R., Růžička I. et Čech L.",2001,"Poznámky k novému nálezu Calamagrostis stricta v České republice.","Vlastiv. Sborn. Vysočiny, Jihlava, sect. natur., 15: 359-363."
401776,"Málková J.",2002,"Výzkum apofytické a alochtonní vegetace u bývalé obří boudy v Krkonoších.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 10: 47-81."
401777,"Stránská M.",2002,"Flóra a vegetace lokality Rákosiny u Pilníkova.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 10: 97-105."
401778,"Prausová R.",2002,"Fytocenologický průzkum lučních ekosystémů v horní části povodí Kněžné na Rychnovsku (Východní Čechy).","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 10: 107-203."
401779,"Málková J., Böhnisch R. et Bradáčová S.",2002,"Vegetační a floristická studie přírodního parku údolí Rokytenky, Hvězdné a Záhorského potoka.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 10: 205-247."
401780,"Rusňák J.",2002,"Botanický průzkum vybraných rybníků v CHKO Železné hory.","Východočes. Sborn. Přírod. - Pr. a Stud., Pardubice, 10: 253-272."
401781,"Kočí M.",2003,"Syntaxonomická revize vegetace subalpínských vysokobylinných niv třídy Mulgedio-Aconitetea v ČR.","Ms. [Dis. pr., depon. in: PřF MU, Brno.]"
401782,"Lososová Z.",2003,"Vegetace polních plevelů.","Ms. [Dis. pr., depon. in: PřF MU, Brno.]"
401783,"Sedláková I.",2003,"Sukcese vegetace suchých vřesovišť v Národním parku Podyjí.","Ms. [Dis. pr., depon. in: PřF MU, Brno.]"
401784,"Chytrý M. et Vicherek J.",2003,"Travinná, keříčková a křovinná vegetace Národního parku Podyjí/Thayatal.","Thayensia, Znojmo, 5: 11-84."
401785,"Kočí M.",2003,"Komentovaný přehled společenstev vysokobylinných niv (Mulgedio-Aconitetea) v Krkonoších.","Opera Corcont., Vrchlabí, 40: 223-237."
401786,"Nevečeřal P.",1996,"Lazurový vrch u Michalových hor.","Erica, Plzeň, 5: 39-43."
401787,"Fialová J.",1996,"Biologické vlastnosti některých druhů společenstev svazu Agropyro-Rumicion crispi (Nordhagen 1940).","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401788,"Dvořák ?.",1959,"Vegetační poměry skupiny Větrníku na Bučovsku.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401789,"Dvořák Z.",1966,"Nárys vegetačních a květenných poměrů území dolního toku říčky Obravy.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401790,"Duda J.",1949,"Příspěvek k rostlinně-sociologickému výzkumu Beskyd.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401791,"Skalický V.",1986,"Inventarizační průzkum CHPV Ctirad.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401792,"Skalický V.",1988,"CHPV Železniční zářez.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401793,"Kolbek J.",1986,"Botanický inventarizační průzkum CHPV Pecka.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401794,"Kubíková J.",1981,"Zpráva o inventarizačním průzkumu vegetace chráněného přírodního výtvoru Meandry Botiče.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401795,"ČSOP",1998,"Inventarizační průzkum CHPV V pískovně.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401796,"Skalický V.",1986,"CHPV Vidoule.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401797,"Kubíková J.",1985,"CHPV Okrouhlík.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401798,"Kubíková J.",1982,"Zpráva o inventarizačním průzkumu vegetace CHPV Skalka.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401799,"Hašková V.",1988,"Inventarizační průzkum CHPV Klánovický les.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401800,"Skalický V.",1987,"IP návrhu CHPV Modřanská rokle.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401801,"Kolbek J. et al.",2003,"Vegetace Chráněné krajinné oblasti a Biosférické rezervace Křivoklátsko. 3. Společenstva lesů, křovin, pramenišť, balvanišť a acidofilních lemů.","Academia, Praha, 380 p."
401802,"Medonosová E.",1986,"Botanický IP navrženého území Hvězda.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401803,"Stanzel J.",1986,"Botanický IP lomu Chvaly v Horních Počernicích.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401804,"Hadincová V.",1986,"Botanický inventarizační průzkum navrženého CHPV Královská obora.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401805,"Sádlo J.",1986,"CHPV Krňák a okolí.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401806,"Kubíková J.",1981,"Zpráva o inventarizačním průzkumu CHPV Zlatnice.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401807,"Fišerová D.",1986,"Botanická inventarizace lokality Hrnčířské louky.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401808,"Kubíková J.",1984,"CHPV Housle.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401809,"Knížetová L.",1979,"SPR Radotínské údolí - inventarizace vegetačního krytu.","Ms. [Inventariz. průzk., depon in: AOPK ČR.]"
401810,"Balátová-Tuláčková E.",2000,"Molinietalia-Gesellschaften des Landschaftsschutzgebietes Orlické hory (NO-Böhmen).","Verh. Zool.-Bot. Ges. Wien, 137:205-234."
401811,"Balátová-Tuláčková E.",1996,"Feuchtwiesen des Bezirkes Frýdlant v Čechách (Nordböhmen).","Verh. Zool.-Bot. Ges. Wien, 133: 371-405."
401812,"Grulich V. et Vydrová A.",2003,"Kýchavice bílá pravá (Veratrum album subsp. album) v České republice.","In: Papáček M. [red.]: Biodiverzita a přírodní podmínky Novohradských hor II, p. 91-96, ed. Jihočeská univerzita, České Budějovice."
401813,"Douda J.",2003,"Flóra a vegetace přírodovědně významných lokalit okolí Bechyně.","Ms. [Dipl. pr., depon. in: FŽP ČZU, Praha.]"
401814,"Rychnovská M.",1972,"Projekt Lanžhot.","Ms. [Závěr. zpr. o dílčím úkolu Stát. plánu Výzk. a mezinár. Biol. Programu ČSAV, depon in: Bot. Úst. Brno.]"
401815,"Turoňová D. et Rychtařík P.",2002,"Vegetace národní přírodní rezervace Novozámecký rybník a návrh péče o chráněné území.","Příroda, Praha, 20: 25-51."
401816,"Kubát K. et Machová I.",2002,"Cévnaté rostliny národní přírodní rezervace Novozámecký rybník.","Příroda, Praha, 20: 53-73."
401817,"Kučerová A., Rektoris L. et Přibáň K.",2000,"Vegetation changes of Pinus rotundata bog forest in the 'Žofinka' Nature Reserve, Třeboň Biosphere Reserve.","Příroda, Praha, 17: 119-138."
401818,"Nesvadbová J. et Sofron J.",2002,"Nástin vegetačních poměrů přírodní rezervace Bažantnice u Nekmíře.","Erica, Plzeň, 10: 45-52."
401819,"Hadač E. et Andresová J.",2002,"Rostlinná společenstva pasek Bukovských vrchů (severovýchodní Slovensko).","Erica, Plzeň, 10: 53-74."
401820,"Lososová Z.",2003,"Estimating past distribution of vanishing weed vegetation in South Moravia.","Preslia, Praha, 75: 71-79."
401821,"Soukupová L., Frantík T. et Jeník J.",2001,"Grasslands versus krummholz in arctic-alpine tundra of the Giant Mountains.","Opera Corcont., Vrchlabí, 38: 63-76."
401822,"Málková J., Matějka K., Krtičková M. et Zikmund M.",2001,"Vegetation dynamics in dwarf pine ecosystems in the eastern Giant Mts.","Opera Corcont., Vrchlabí, 38: 123-148."
401823,"Wagnerová Z.",2001,"Influence of the dwarf pine plantations (of the age 40, 60 and 90 years) on the vegetation cover.","Opera Corcont., Vrchlabí, 38: 163-170."
401824,"Wagnerová Z.",2001,"Vegetation cover of naturally dispersed dwarf pine polycormons in the western Giant Mountains.","Opera Corcont., Vrchlabí, 38: 171-180."
401825,"Neuhäuslová Z. et Eltsová V.",2003,"Climax spruce forests in the Bohemia Forest.","Silva Gabreta, Vimperk, 9: 81-104."
401826,"Hanáková P. et Duchoslav M.",2002,"Vegetace rákosin a vysokých ostřic (tř. Phragmito-Magnocaricetea) nivy Moravy v Hornomoravském úvalu. I. Ordinace, změny ve složení vegetace během 20. století, vegetace tř. Phragmitetalia.","Čas. Slez. Muz. Opava, ser. A, 51: 243-258."
401827,"Hanáková P. et Duchoslav M.",2003,"Vegetace rákosin a vysokých ostřic (tř. Phragmito-Magnocaricetea) nivy Moravy v Hornomoravském úvalu. II. vegetace ř. Oenanthetalia aquaticae a Nasturtio-Glycerietalia.","Čas. Slez. Muz. Opava, ser. A, 52: 75-87."
401828,"Neuschlová Š.",2001,"Vývoj vegetace v závislosti na zemědělském hospodaření v chráněné krajinné oblasti Poodří.","Acta Fac. Rer. Natur. Univ. Ostrav., Ostrava, Biol.-Ekol., 200/8: 58-61."
401829,"Hadinec J., Lustyk P. et Procházka F. [red.]",2003,"Additamenta ad floram Reipublicae Bohemicae. II.","Zpr. Čes. Bot. Společ., Praha, 38: 217-288."
401830,"Toman M.",2002,"Dvě problematické lokality okolí Roudnice nad Labem.","Vlastiv. Sborn. Podřipsko, Roudnice n. Labem, 12: 26-34."
401831,"Novák J.",2003,"Slatinná vegetace na Podřipsku.","Vlastiv. Sborn. Podřipsko, Roudnice n. Labem, 13: 108-109."
401832,"Toman M.",2003,"Podezřelá, většinou nejspíše vysazená naleziště pseudoxerotermní květeny na území ústeckého kraje.","Vlastiv. Sborn. Podřipsko, Roudnice n. Labem, 13: 110-132."
401833,"Balátová-Tuláčková E.",2003,"Společenstva zamokřených luk řádu Molinietalia v jižní části Českomoravské vrchoviny.","Vlastiv. Sborn. Vysočiny, Jihlava, sect. natur., 16: 63-94."
401834,"Hanáková P. et Duchoslav M.",2003,"Vegetace rákosin a vysokých ostřic (tř. Phragmito-Magnocaricetea) nivy Moravy v Hornomoravském úvalu. III. vegetace ř. Magnocaricetalia, závěrečná diskuse.","Čas. Slez. Muz. Opava, ser. A, 52: 133-150."
401835,"Kubíková J.",2004,"Vegetace a květena chráněných území v Dalejském údolí.","Natura Prag., Praha, 15: 51-75."
401836,"Blažková D.",2003,"Pobřežní vegetace řeky Berounky dva měsíce po povodni v srpnu 2002.","Bohem. Centr., Praha, 26: 35-44."
401837,"Bílek O.",2003,"Příspěvek k poznání flóry a vegetace přírodní rezervace Jezírka v CHKO Křivoklátsko.","Bohem. Centr., Praha, 26: 149-184."
401838,"Černý T.",2003,"Přírodní společenstva labské nivy na Kolínsku s poznámkami k ochraně přírody.","Bohem. Centr., Praha, 26: 185-196."
401839,"Višňák R.",2003,"Jizerskohorská rašeliniště po 40 letech a jejich botanická charakteristika.","Sborn. Severočes. Mus., Liberec, Přír. Vědy, 23: 11-84."
401840,"Jehlík V.",2003,"Příspěvek k fytocenologii a ekologii druhu Bunias orientalis L. v Čechách a v sousedních územích.","Sborn. Severočes. Muz., Liberec, Přír. Vědy, 23: 95-103."
401841,"Fajmon K.",2004,"Flóra a vegetace vybraných obcí v Bílých Karpatech.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401842,"Simonová D.",2004,"Flóra a vegetace zdí jižní a jihozápadní Moravy.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401843,"Straková J.",2004,"Paseková vegetace jižní Moravy.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401844,"Hložková I.",2004,"Biologie, ekologie a rozšíření druhů Astragalus exscapus L., Crepis pannonica (Jacq.) K. Koch a Hypericum elegans Willd. na Moravě.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401845,"Šílová D.",2004,"Floristická a geobotanická studie území severozápadně od Olešnice na Moravě.","Ms. [Dipl. pr., Depon. in: PřF MU, Brno.]"
401846,"Šumberová K., Lososová Z. et Šmarda P.",2004,"Nové nálezy Veronica scardica na jižní Moravě.","Zpr. Čes. Bot. Společ., Praha, 39: 161-166."
401847,"Kuželová I. et Knoll A.",2004,"Gentianella amarella subsp. amarella v Hostýnských vrších.","Zpr. Čes. Bot. Společ., Praha, 39: 217-219."
401848,"Jaroš V.",2004,"Vegetace a flóra zachovalých luk a lesních úseků v okolí dálnice D5 mezi Brodem u Stříbra a Málkovicemi.","Zpr. Čes. Bot. Společ., Praha, 39: 221-232."
401849,"Těšitel J.",2004,"Epipactis atrorubens a Lithospermum officinale v Železných horách.","Zpr. Čes. Bot. Společ., Praha, 39: 233-235."
401850,"Jehlík V.",2004,"Apofytizace dvou horských druhů a jejich společenstev v Jizerských horách a podhůří.","Zpr. Čes. Bot. Společ., Praha, 39: 299-305."
401851,"Pyšek A.",1979,"Příklad sekundární sukcese.","Zprav. Západočes. Poboč. ČSBS, Plzeň, 1979/3: 10-11."
401852,"Jirásek J. et Samková V.",1997,"Výsledky geobotanického průzkumu lokality 'Na Plachtě' v Hradci Králové.","Acta Mus. Reginaehradecensis, Hradec Králové, ser. A, 25: 21-27."
401853,"Plánská M.",2000,"Inventarizační průzkum přírodní rezervace (PR) Klíč.","Bezděz, Česká Lípa, 9: 349-383."
401854,"Plánská M.",1999,"Přírodní památka 'Louka U Brodských' v Dolní Chřibské.","Bezděz, Česká Lípa, 8: 249-259."
401855,"Plánská M.",2004,"Mikrolesy - Mikrosylvae v Polevsku.","Bezděz, Česká Lípa, 13: 233-246."
401856,"Nosková I.",1995,"Rostlinná společenstva PR Kačení louka u Moravičan.","Ms. [Dipl. pr., depon. in: PřF UP, Olomouc.]"
