"SYNTAXON","SYNTAXON_NAME"
"RAA02","Cardamino-Chrysosplenietum alternifolii"
"RAA03","Pellio epiphyllae-Chrysosplenietum oppositifolii"
"RAB","Lycopodo europaei-Cratoneurion commutati"
"RAB01","Brachythecio rivularis-Cratoneuretum"
"RAC","Epilobio nutantis-Montion fontanae"
"RAC01","Philonotido fontanae-Montietum rivularis"
"RAD","Swertio perennis-Dichodontion palustris"
"RAD01","Crepido paludosae-Philonotidetum seriatae"
"RAD02","Swertietum perennis"
"RAD03","Cardaminetum opicii"
"RB","Scheuchzerio palustris-Caricetea nigrae"
"RBA","Caricion davallianae"
"RBA01","Valeriano dioicae-Caricetum davallianae"
"RBA02","Carici flavae-Cratoneuretum filicini"
"RBA03","Valeriano simplicifoliae-Caricetum flavae"
"RBA04","Campylio stellati-Caricetum lasiocarpae"
"RBA05","Junco subnodulosi-Schoenetum nigricantis"
"RBA06","Eleocharitetum quinqueflorae"
"RBB","Sphagno warnstorfii-Tomentypnion nitentis"
"RBB01","Sphagno warnstorfii-Eriophoretum latifolii"
"RBB02","Campylio stellati-Trichophoretum alpini"
"RBB03","Menyantho trifoliatae-Sphagnetum teretis"
"RBC","Caricion canescenti-nigrae"
"RBC01","Caricetum nigrae"
"RBC02","Drosero anglicae-Rhynchosporetum albae"
"RBC03","Agrostio caninae-Caricetum diandrae"
"RBC04","Bartsio alpinae-Caricetum nigrae"
"RBC05","Calliergo sarmentosi-Eriophoretum angustifolii"
"RBD","Sphagno-Caricion canescentis"
"RBD01","Sphagno recurvi-Caricetum rostratae"
"RBD02","Sphagno recurvi-Caricetum lasiocarpae"
"RBD03","Carici echinatae-Sphagnetum"
"RBD04","Polytricho communis-Molinietum caeruleae"
"RBE","Sphagnion cuspidati"
"RBE01","Drepanoclado fluitantis-Caricetum limosae"
"RBE02","Carici rostratae-Drepanocladetum fluitantis"
"RBE03","Rhynchosporo albae-Sphagnetum tenelli"
"RC","Oxycocco-Sphagnetea"
"RCA","Sphagnion magellanici"
"RCA01","Eriophoro vaginati-Sphagnetum recurvi"
"RCA02","Andromedo polifoliae-Sphagnetum magellanici"
"RCA03","Vaccinio uliginosi-Pinetum mugo"
"RCA04","Sphagno-Pinetum sylvestris"
"RCA05","Ledo palustris-Pinetum uncinatae"
"RCB","Oxycocco palustris-Ericion tetralicis"
"RCB01","Trichophoro cespitosi-Sphagnetum papillosi"
"RCC","Oxycocco microcarpi-Empetrion hermaphroditi"
"RCC01","Trichophoro cespitosi-Sphagnetum compacti"
"RCC02","Empetro nigri-Sphagnetum fusci"
"SA","Asplenietea trichomanis"
"SAA","Cystopteridion"
"SAA01","Cystopteridetum fragilis"
"SAA02","Asplenietum rutae-murario-trichomanis"
"SAB","Asplenion cuneifolii"
"SAB01","Asplenietum cuneifolii"
"SAB02","Notholaeno marantae-Sempervivetum hirti"
"SAC","Asplenion septentrionalis"
"SAC01","Woodsio ilvensis-Asplenietum septentrionalis"
"SAC02","Festuco pallentis-Saxifragetum rosaceae"
"SAC03","Asplenio trichomanis-Polypodietum vulgaris"
"SAD","Androsacion alpinae"
"SAD01","Cryptogrammetum crispae"
"SB","Cymbalario muralis-Parietarietea judaicae"
"SBA","Cymbalario muralis-Asplenion"
"SBA01","Cymbalarietum muralis"
"SBA02","Corydalidetum luteae"
"SC","Thlaspietea rotundifolii"
"SCA","Stipion calamagrostis"
"SCA01","Gymnocarpietum robertiani"
"SCA02","Galeopsietum angustifoliae"
"SCA03","Teucrio botryos-Melicetum ciliatae"
"SCB","Galeopsion"
"SCB01","Senecioni sylvatici-Galeopsietum ladani"
"TA","Crypsietea aculeatae"
"TAA","Cypero-Spergularion salinae"
"TAA01","Crypsietum aculeatae"
"TAA02","Heleochloetum schoenoidis"
"TB","Thero-Salicornietea strictae"
"TBA","Salicornion prostratae"
"TBA01","Salicornietum prostratae"
"TBA02","Spergulario marginatae-Suaedetum prostratae"
