"AUTHOR","AUTH_NAME"
"0299","Ralski Edward"
"0300","Removčíková O."
"0301","Ružičková J."
"0302","Smiešková M."
"0303","Soldán Zdeněk"
"0304","Stano Vladimír"
"0305","Staszkiewicz J."
"0306","Svinčák"
"0307","Szafer Wladyslaw"
"0308","Szenasiová A."
"0309","Topercer Ján"
"0310","Treskoňová"
"0311","Turis Peter"
"0312","Turečková"
"0313","Uhlířová Jana"
"0314","Varečková B."
"0315","Veselá M."
"0316","Vilčeková"
"0317","Zahradníková-Rošetská Kamila"
"0318","Hluštíková Marie"
"0319","Černušáková Danica"
"0320","Šefferová E."
"0321","Uhlířová = Šimeková Jana"
"0322","Školek Jozef"
"0323","Škovirová Katarína"
"0324","Šuchová H."
"0325","Koó Anton J."
"0326","Anenkhonov Oleg A."
"0327","Ünal Aslan"
"0328","Schwarz Friedrich"
"0329","Hédl Radim"
"0330","Jakubková Martina"
"0331","Minksová Kateřina"
"0332","Horáková H."
"0333","Neubauerová R."
"0334","Procházka J."
"0335","Balounová Zuzana"
"0336","Paukertová Ivana"
"0337","Dušek J."
"0338","Hanáková = Heinzová Petra"
"0339","Popelářová = Derková Marie"
"0340","Petrů Martina"
"0341","Štech Milan"
"0342","Čáp Jaroslav"
"0343","Valouch S."
"0344","Novák Jan"
"0345","Lysák Filip"
"0346","Fér Tomáš"
"0347","Mejstřík V."
"0348","Wildová = Freiová Radka"
"0349","Wild Jan"
"0350","Pilko M."
"0351","Galvánek Dobromil"
"0352","Dřevojan Pavel"
"0353","Dostál Petr"
"0354","Kulíšek Petr"
"0355","Kuneš Petr"
"0356","Sklenář Petr"
"0357","Petřík Petr"
"0358","Brabec Jiří"
"0359","Abazid Daniel"
"0360","Kučerová = Kolmanová Andrea"
"0361","Vojta Jaroslav"
"0362","Černý Tomáš"
"0363","Nováková D."
"0364","Hoffmann Aleš"
"0365","Čechová Jana"
"0366","Morávková Květa"
"0367","Boháčiková E."
"0368","Pecháčková = Kettnerová Sylvie"
"0369","Fabšičová Martina"
"0370","Gutzerová Naděžda"
"0371","Reiterová Lenka"
"0372","Špryňar Pavel"
"0373","Hanušová = Zdražílková Magda"
"0374","Zelená Věra"
"0375","Švendová K."
"0376","Chocholoušková = Třeštíková Zd"
"0377","Fošumová Pavlína"
"0378","Rektoris Ladislav"
"0379","Albrecht Josef"
"0380","Hartmann Friedrich-Karl"
"0381","Suchara Ivan"
"0382","Čížková S."
"0383","Trávníček Bohumil"
"0384","Matějková Ivona"
"0385","Lososová Zdeňka"
"0386","Schubert Rudolf"
"0387","Štursová Helena"
"0388","Matuszkiewicz Władysław"
"0389","Hueck Kurt"
"0390","Němec Jiří"
"0391","Řezníčková = Havlová Marcela"
"0392","Dvořáčková = Juřičková Kamila"
"0393","Juřička Jiří"
"0394","Filippov Petr"
"0395","Hustáková Karin"
"0396","Albín Robert"
"0397","Paloudová Marcela"
"0400","Rozsypalová Zuzana"
"0403","Petrová Michaela"
"0404","Prinz Karl"
"0405","Volf F."
"0406","Koblihová Helena"
"0407","Linhart J."
"0408","Klaudisová Alexandra"
"0409","Kolková Jana"
"0410","Hantáková L."
"0411","Slavík Bohumil"
"0412","Gazda Jaroslav"
"0413","Vacek Stanislav"
"0414","Saul Jiří"
"0415","Duhová E."
"0416","Řezáč Milan"
"0417","Kuncová Jaromíra"
"0418","Duda Josef"
"0419","Geringhoff Heiner"
"0420","Roubal Antonín"
"0421","Kosinová-Kučerová Jana"
"0422","Kučera Stanislav"
"0423","Soukupová Lenka"
"0424","Mattauch F."
"0425","Vymyslický Tomáš"
"0426","Bartošová Libuše"
"0427","Míka V."
"0428","Moravcová = Čechová L."
"0429","Eltsova Viktoria"
"0430","Sobotková V."
"0431","Gogela Jaromír"
"0432","Krkavec František"
"0433","Kulich Jaroslav"
"0434","Bíba M."
"0435","Müller Jiří"
"0436","Nevečeřal Petr"
"0437","Průša Eduard"
"0438","Viewegh Jiří"
"0439","Hrdina Pavel"
"0440","Roubínková O."
"0441","Víchová A."
"0442","Koutecká Věra"
"0443","Jatiová Matilda"
"0444","Krejčík Karel"
"0445","Vágenknecht Vlastizdar"
"0446","Rokytová Miloslava"
"0447","Durdík Miloš"
"0448","Hradecká Dana"
"0449","Uhlířová Ivana"
"0450","Nový Pavel"
"0451","Felnerová Mariana"
"0452","Brabec Eduard"
"0453","Večerková G."
"0454","Halčinová B."
"0455","Malina Patrik"
"0456","Blahoudková H."
"0457","Zatloukal V."
"0458","Pěnčíková M."
"0459","Ducháčková L."
"0460","Bouchalová L."
"0461","Horáková E."
"0462","Gábová = Odložilíková Kateřina"
"0463","Grygar F."
"0464","Borunský Jan"
"0465","Gadasová M."
"0466","Pilčík T."
"0467","Seifert I."
"0468","Trávníčková Věra"
"0469","Hrabovský Stanislav"
"0470","Matoušková I."
"0471","Matějčková K."
"0472","Slavoňovský František"
"0473","Machová Iva"
"0474","Zakopal V."
"0475","Krontorád Karel"
"0476","Chrtková Ana"
"0477","Faltysová = Nováková Helena"
"0478","Pivoňková Lenka"
"0479","Ježek Zdeněk"
"0480","Zákravský Petr"
"0481","Štěpánková Jitka"
"0482","Raynoch Bedřich"
"0483","Skalický Vladimír"
"0484","Dlouhý Rudolf"
"0485","Baumová Helena"
"0486","Macková Z."
"0487","Leopoldová Jaroslava"
"0488","Hradílek Zbyněk"
"0489","Růžička Ivan"
"0490","Pavlů Lenka"
"0491","Pujmanová L."
"0492","Cais Jiří"
"0493","Studničková Irena"
"0494","Hostička Miloš"
"0495","Čížek Karel"
"0496","Kučerová Jarmila"
