"SYNTAX_OLD","SYNTAXON_OLD_NAME"
"21BB13","Deschampsio-Cirsietum heterophylli"
"21BB14","Crepido-Juncetum acutiflori"
"21BB15","Scirpo-Juncetum filiformis"
"21BB16","Junco filiformis-Polygonetum bistortae"
"21BB''","Filipendulenion"
"21BB17","Filipendulo-Geranietum palustris"
"21BB18","Lysimachio vulgaris-Filipenduletum"
"21BB19","Chaerophyllo hirsuti-Filipenduletum"
"21BB20","Valeriano procurrentis-Filipenduletum"
"21BB21","Cirsio heterophylli-Filipenduletum"
"21BB22","Filipendulo-Menthetum longifoliae"
"21BB23","Filipendulo-Epilobietum hirsuti"
"21BB24","Trollio altissimi-Filipenduletum"
"21BB25","Iridetum sibiricae"
"21BB26","Veronico longifoliae-Filipenduletum"
"21BC","Cnidion venosi"
"21BC01","Lathyro palustris-Gratioletum"
"21BC02","Gratiolo-Caricetum suzae"
"21BC03","Cnidio-Violetum pumilae"
"21BC04","Cnidio-Violetum elatioris"
"21BC05","Juncetum atrati"
"21BC06","Pseudolysimachio-Alopecuretum"
"21BD","Veronico longifoliae-Lysimachion vulgaris"
"21BD01","Lysimachio-Filipenduletum picbaueri"
"21BD02","Stachyo palustris-Thalictretum flavae"
"21BD03","Veronico longifoliae-Euphorbietum lucidae"
"21BE","Molinion"
"21BE01","Molinietum caeruleae"
"21BE02","Junco-Molinietum caeruleae"
"21BE03","Gentiano pneumonanthis-Molinietum litoralis"
"21BE04","Silaetum pratensis"
"21BE05","Serratulo-Festucetum commutatae"
"21BE06","Sanguisorbo-Festucetum pratensis"
"21BE07","Sanguisorbo-Festucetum commutatae"
"22","NARDO-CALLUNETEA"
"22A","NARDETALIA"
"22AA","Nardion"
"22AA01","Lycopodio alpini-Nardetum"
"22AA02","Thesio alpini-Nardetum"
"22AA03","Festuco supinae-Nardetum"
"22AB","Violion caninae"
"22AB01","Hyperico-Polygaletum"
"22AB02","Gymnadenio-Nardetum"
"22AB03","Nardo-Festucetum capillatae"
"22AB04","Thymo-Festucetum ovinae"
"22AB05","Carici leporinae-Agrostietum tenuis"
"22AC","Nardo-Juncion squarrosi"
"22AC01","Nardo-Juncetum squarrosi"
"22AD","Nardo-Agrostion tenuis"
"22AD01","Sileno vulgaris-Nardetum"
"22AD02","Ranunculo nemorosi-Nardetum"
"22B","CALLUNO-ULICETALIA"
"22BA","Genistion"
"22BA01","Genisto germanicae-Callunetum"
"22BA02","Calluno-Vaccinietum"
"22BA03","Arnico montanae-Callunetum"
"22BA04","Calluno-Deschampsietum"
"22BB","Euphorbio-Callunion"
"22BB01","Euphorbio cyparissiae-Callunetum"
"22BB02","Cladonio-Callunetum"
"22BB03","Antherico-Callunetum"
"22BB04","Carici humilis-Callunetum"
"22BB05","Agrostio vinealis-Genistetum pilosae"
"22BC","Vaccinion"
"22BC01","Rhodococco-Vaccinietum myrtilli"
"22BC02","Calamagrostio arundinaceae-Vaccinietum"
"22BC03","Festuco supinae-Vaccinietum myrtilli"
"23","KOELERIO-CORYNEPHORETEA"
"23A","CORYNEPHORETALIA CANESCENTIS"
"23AA","Corynephorion canescentis"
"23AA01","Thymo angustifolii-Corynephoretum canescentis"
"24","FESTUCETEA VAGINATAE"
"24A","FESTUCO-ASTRAGALETALIA ARENARII"
"24AA","Koelerion glaucae"
"24AA01","Jurineo cyanoidis-Koelerietum glaucae"
"25","SEDO-SCLERANTHETEA"
"25A","TRIFOLIO ARVENSIS-FESTUCETALIA OVINAE"
"25AA","Thero-Airion"
"25AA01","Airetum praecocis"
"25AA02","Filagini-Vulpietum"
"25AB","Arabidopsion thalianae"
"25AB01","Veronico vernae-Poetum bulbosae"
"25AB02","Gageo bohemicae-Veronicetum dillenii"
"25AB03","Arabidopsietum thalianae"
"25AC","Hyperico perforati-Scleranthion perennis"
"25AC01","Polytricho piliferi-Scleranthetum perennis"
"25AC02","Cerastio arvensis-Agrostietum pusillae"
"25AC03","Jasiono montanae-Festucetum ovinae"
"25AC04","Artemisio campestris-Corynephoretum canescentis"
"25AC05","Festucetum ovinae"
"25AC06","Festuco glaucae-Sedetum acris"
"25AC07","Hypno tamariscini-Festucetum duriusculae"
"25AD","Plantagini-Festucion ovinae"
"25AD01","Diantho deltoidis-Armerietum"
"25AD02","Thymo angustifolii-Festucetum ovinae"
"25AD03","Cerastio arvensis-Festucetum trachyphyllae"
"25AD04","Armerio-Festucetum"
"25AD05","Erysimo diffusi-Festucetum ovinae"
"25AD06","Acetosello tenuifoliae-Festucetum valesiacae"
"25AD07","Diantho serotini-Festucetum vaginatae"
"25B","ALYSSO-SEDETALIA"
"25BA","Alysso alyssoidis-Sedion albi"
"25BA01","Cerastietum pumili"
"25BA02","Saxifrago tridactylitae-Poetum compressae"
"25BA03","Alysso alyssoidis-Sedetum albi"
"25BA04","Poo badensis-Allietum montani"
"25BA05","Sempervivetum soboliferi"
"25BA06","Trifolio arvensis-Sedetum albi"
"26","FESTUCO-BROMETEA"
"26A","FESTUCETALIA VALESIACAE"
"26AA","Alysso-Festucion pallentis"
"26AA'","Alysso-Festucenion pallentis"
"26AA01","Alysso saxatilis-Festucetum pallentis"
"26AA02","Asperulo glaucae-Festucetum pallentis"
"26AA03","Allio montani-Sedetum albi"
"26AA04","Melico transsilvanicae-Sempervivetum soboliferi"
"26AA''","Potentillo arenariae-Festucenion pallentis"
"26AA05","Alysso montani-Potentilletum arenariae"
"26AA06","Potentillo arenariae-Festucetum pallentis"
"26AA07","Medicagini prostratae-Festucetum pallentis"
"26AA08","Helichryso-Festucetum pallentis"
"26AB","Helianthemo cani-Festucion pallentis"
"26AB01","Seselio glauci-Festucetum pallentis"
"26AB02","Allio montani-Sedetum boloniensis"
"26AB03","Minuartio setaceae-Thymetum angustifolii"
"26AB04","Helianthemo cani-Caricetum humilis"
"26AC","Seslerio-Festucion pallentis"
"26AC'","Poo badensis-Teucrienion montani"
"26AC01","Poo badensis-Festucetum pallentis"
"26AC''","Seslerio-Festucenion pallentis"
"26AC02","Alsino setaceae-Seslerietum calcariae"
"26AC03","Alysso saxatilis-Seslerietum variae"
"26AC04","Asplenio septentrionalis-Seslerietum variae"
"26AC'''","Cynancho vincetoxici-Seslerienion calcariae"
"26AC05","Helianthemo cani-Seslerietum calcariae"
"26AC06","Saxifrago aizoi-Seslerietum calcariae"
